country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,HIGH_CONF_RANK
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.4208806272827415,True,True,True,False,False,False,False,True,3,0.75,B,0.6805779471550732,0.6040285101514584,0.609032398821861,0.4723110582511101,0.58211650153458,0.570793995524568,0.5995021741251335,0.6066134711157679,49.0,55.0,52.0,0.6066134711157679,50,Silver,50,44
Brazil,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187,True,True,True,True,False,False,False,False,4,1.0,A,0.8762675454511877,0.3830436897864854,0.7272826442674811,0.1284592571595965,0.576679646002042,0.5614451609635013,0.6073831036470132,0.5818359702041854,50.0,57.0,48.0,0.5818359702041854,52,Silver,52,45
Bulgaria,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477,True,True,True,True,False,False,False,False,4,1.0,A,0.6779490018515717,0.4781183099440484,0.8272062834078759,0.2511638979117476,0.5623368880545871,0.5761420389267363,0.6016309224093009,0.5800366164635414,57.0,53.0,51.0,0.5800366164635414,53,Silver,53,46
Rwanda,0.5764678672268,0.5707738424204216,0.6460280373831776,0.4160237011195762,True,True,True,True,False,False,False,False,4,1.0,A,0.6059748176976061,0.561486153780818,0.6545216537580452,0.4638363489831464,0.5725293338850157,0.5763653995973271,0.586261519390292,0.5783854176242116,53.0,52.0,57.0,0.5783854176242116,54,Silver,54,47
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.3175215899087967,True,True,True,False,False,False,False,True,3,0.75,B,0.5628971630665769,0.5730744563652733,0.8454238027708082,0.2919628786547554,0.5645251845746568,0.590422313345127,0.6042435961652266,0.5740443680359222,56.0,48.0,49.0,0.5740443680359222,55,Silver,55,48
Mauritius,0.5849327554430694,0.6498424329697279,0.5486406117247239,0.3852061364022879,True,True,True,True,False,False,False,False,4,1.0,A,0.6149667072393992,0.6509257078800705,0.5544889276753572,0.4100636761954948,0.5704725226097112,0.5592623935743087,0.5830270419902186,0.5709206527247461,55.0,59.0,58.0,0.5709206527247461,58,Silver,58,49
Kazakhstan,0.6431786189671082,0.477791166390182,0.7699660152931181,0.3096283570066364,True,True,True,False,False,False,False,True,3,0.75,B,0.6768388026166171,0.4563074851675977,0.781826115413985,0.2781902060254193,0.5721143294548542,0.583759125935708,0.5987154425122246,0.5698505441930789,54.0,49.0,53.0,0.5698505441930789,59,Silver,59,50
Thailand,0.7226189440159491,0.4707354303628075,0.5486406117247239,0.3676399120567997,True,True,True,True,False,False,False,False,4,1.0,A,0.7612248700699832,0.4483262896037678,0.5544889276753572,0.3794128819971291,0.5736974738096445,0.553819553821193,0.5767107272981459,0.5680759183096611,52.0,61.0,60.0,0.5680759183096611,60,Silver,60,51
Ukraine,0.7157303056524923,0.3602563960267648,0.8937977909940527,0.2106964565756289,True,True,True,True,False,False,False,False,4,1.0,A,0.753907363485725,0.3233563679233014,0.9090214901276316,0.1055668089809172,0.5371360962281391,0.5541805205444243,0.5867513800766768,0.5593559989497466,65.0,60.0,56.0,0.5593559989497467,61,Silver,61,52
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,True,True,True,True,False,False,False,False,4,1.0,A,0.737871618316319,0.4314202511192903,0.5817606632486091,0.3463247842544314,0.5575720688986355,0.5427016441170744,0.5656867198360906,0.5553201442839334,59.0,63.0,62.0,0.5553201442839335,62,Silver,62,53
