country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Ghana,0.5336179984684248,0.5017979802329839,0.5177079893507044,63,0.534556120714026,0.4668307464610846,0.501390059087618,0.4299534336250741,0.4831825899719507,0.6282922684791844,0.5430609492672799
Costa Rica,0.5488510049814187,0.521328136775694,0.5350895708785564,64,0.667702316034601,0.6280029835743839,0.5524443654072121,0.6304767004759575,0.6196565913730386,0.4689889549702634,0.5412450390739528
Indonesia,0.6974547190432555,0.6739518959540062,0.6857033074986308,65,0.4729084142571921,0.518318664412549,0.5283917749432079,0.3492732933317666,0.4672230367361789,0.4601741716227697,0.5377001719525264
Uzbekistan,0.6415987692719716,0.6272474752912298,0.6344231222816007,66,0.3665353662760873,0.3619978670586537,0.455758829374941,0.3010904701401099,0.3713456332124479,0.5398258283772303,0.5151981946237596
South Africa,0.5835006983528217,0.5619603367713875,0.5727305175621046,67,0.5259758269775187,0.4739666098338218,0.4372699340137433,0.4303409621101181,0.4668883332338004,0.5044604927782498,0.5146931145247183
Bhutan,0.4029193029152518,0.3725156650373592,0.3877174839763055,68,0.708756678730631,0.4664853582538819,0.6184612118668625,0.8126839502318393,0.6515967997708036,0.5044604927782498,0.5145915921751197
Kenya,0.6312870955871608,0.6147369781012468,0.6230120368442038,69,0.4118838150650194,0.4083509848686899,0.4211043320064451,0.2901733612101403,0.3828781232875737,0.4955395072217502,0.5004765557845093
Bangladesh,0.564886162534573,0.5376068560108526,0.5512465092727128,70,0.2946469533196674,0.2604194448713606,0.3489906484769833,0.2211674648307445,0.2813061278746889,0.6637638062871708,0.4987721478115241
Benin,0.4916888930664016,0.4573760254947137,0.4745324592805576,71,0.4241989669483911,0.4218617729712012,0.4463642965483942,0.4191000626304484,0.4278812747746087,0.5841121495327103,0.4955086278626255
Nigeria,0.5951428870317388,0.5719730410628538,0.5835579640472963,72,0.2835542150046795,0.336430621397632,0.2619346832139966,0.2183105164238689,0.2750575090100442,0.5751911639762107,0.47793554567785046
Botswana,0.36884017625757,0.3392907129476109,0.3540654446025904,73,0.5956234953906696,0.5848368242281404,0.5816397837013079,0.6194257740494328,0.5953814693423877,0.477909940526763,0.475785618157247
Panama,0.392273457692347,0.3639241187743589,0.3780987882333529,74,0.4594631425913441,0.4706829023599247,0.5430674856932303,0.3470897061120544,0.4550758091891383,0.5751911639762107,0.4694552537995673
Jamaica,0.4712154783001006,0.4347666932236601,0.4529910857618803,75,0.5034115933061194,0.5101982502874335,0.5264733352879027,0.4522886169515979,0.4980929489582634,0.4424384027187765,0.4645074791463067
Ethiopia,0.4768483854906247,0.4384057190844297,0.4576270522875272,76,0.2736224241581552,0.2884538382806222,0.3429229188294163,0.3738015763168029,0.3197001893962491,0.5929269328802039,0.45675139152132677
Kuwait,0.4620490521482448,0.4282853513059581,0.4451672017271014,77,0.57639882517889,0.5852158778275,0.5616524624991516,0.5245780509619488,0.5619613041168726,0.3539719626168224,0.45370015615359877
Ecuador,0.6295651101822155,0.6144785857324347,0.6220218479573252,78,0.2934693262513409,0.3332786480669574,0.4386850578260717,0.296181707065504,0.3404036848024685,0.3893372982158029,0.4505876103251989
Mongolia,0.4446552444278007,0.4100686893047093,0.427361966866255,79,0.4981828818047356,0.4714151426358033,0.4005924707992588,0.3627509256131421,0.433235355213235,0.4867247238742566,0.4491073486512489
Senegal,0.4563416929192493,0.4223423268232811,0.4393420098712652,80,0.4733636608679151,0.4304083914409279,0.5406565780999978,0.5003824046351586,0.4862027587609999,0.3539719626168224,0.4265055770830292
Fiji,0.374592823825475,0.3452983355224909,0.3599455796739829,81,0.5941316530517363,0.5040083532404259,0.6247779716825208,0.6036971862619612,0.581653791059161,0.3274214103653356,0.4230069270328265
Pakistan,0.5198784786130712,0.4865958958678753,0.5032371872404733,82,0.2811526601915277,0.2981559979407241,0.3531787259061403,0.229561663603309,0.2905122619104253,0.4689889549702634,0.42091280137372067
Armenia,0.4008048185730895,0.3716974225361212,0.3862511205546053,83,0.4880983957276945,0.5215032713379018,0.4062498891065607,0.507652205569225,0.4808759404353455,0.362786745964316,0.4099712689847556
Mexico,0.5160269127529938,0.4854977283004241,0.500762320526709,84,0.248794591342824,0.4414117197076557,0.4386131427288289,0.2582245487921706,0.3467610006428698,0.362786745964316,0.40343668904463154
Algeria,0.4678027282425281,0.4320966387459358,0.4499496834942319,85,0.3569369071777429,0.3077919066045716,0.4315926615696636,0.3380651589190763,0.3585966585677635,0.3451571792693288,0.38456784044377473
Bosnia and Herzegovina,0.3489987411832479,0.3219784242372042,0.3354885827102261,86,0.446283537913949,0.4044444316469562,0.3453203956830638,0.3565677714621413,0.3881540341765276,0.3717077315208156,0.3651167828025231
Uganda,0.3624826556444914,0.3346181176115932,0.3485503866280423,87,0.3470599579092073,0.3625887750752282,0.4093702227387092,0.2179483084884822,0.3342418160529067,0.2831350892098555,0.32197576396360145
