country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA
Cameroon,0.3436592294366638,0.2599941544673645,0.615016992353441,0.2200696394748562,True,True,False,True,False,False,True,False,3,0.75,B,0.3586721360909258,0.209943315840726,0.622668266608487,0.1219218033369835,0.3133790762522661,0.3413615753195586,0.3486263149101833,0.3344556554940027,154.0,153.0,146.0
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,4,1.0,A,0.9114090051447578,0.8816162799704584,1.0,0.5186081838810729,0.8340936062231977,0.8371640499747303,0.8714648255178414,0.8475741605719231,10.0,9.0,8.0
Central African Republic,0.0205523956386631,0.1518859585218665,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0154495340338684,0.0876552015254672,0.622668266608487,0.3559270285438891,0.1985339382007155,0.267116957644443,0.2232627800072574,0.2296378919508053,183.0,169.0,179.0
Chad,0.1065065938991995,0.2007546910387879,0.2212192013593882,0.4842051068569534,True,True,True,True,False,False,False,False,4,1.0,A,0.1067550110426064,0.1429337592352257,0.2181738845860149,0.5828041017745066,0.2340771693794999,0.2535711765696129,0.2065614540609396,0.2314032666700174,174.0,176.0,181.0
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,True,True,True,True,False,False,False,False,4,1.0,A,0.7260004463282524,0.7059984455433026,0.8726955383440601,0.2712394380384483,0.6467067567575491,0.6545253379892519,0.6940438022135759,0.665091965653459,39.0,34.0,33.0
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.9242114256649178,0.4927391455554836,0.7000109086942292,0.3559270285438891,0.666051010641066,0.6443355561869886,0.6784677600134721,0.6629514422805088,35.0,37.0,37.0
Colombia,0.6453604551979052,0.4377352101445263,0.615016992353441,0.2117285367743431,True,True,False,True,False,False,True,False,3,0.75,B,0.6791564741421433,0.4109976239351965,0.622668266608487,0.107367655716381,0.4847712654847494,0.476064466558195,0.516567548337352,0.4924677601267654,86.0,91.0,80.0
Comoros,0.131274935751109,0.2179697149691569,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.1330653636870379,0.1624067769460956,0.622668266608487,0.3559270285438891,0.2628032950171425,0.3179914253723087,0.2858741521506924,0.2888896241800479,168.0,161.0,164.0
Congo,0.1002223309068626,0.4672230367361789,0.2300339847068818,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.1000795066254229,0.4443531958935565,0.2272281007963345,0.3559270285438891,0.255940529117328,0.2641584998983395,0.2575109281621436,0.2592033190592704,169.0,170.0,167.0
Costa Rica,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125,True,True,True,True,False,False,False,False,4,1.0,A,0.562020419165104,0.6167805663799829,0.4726737209556016,0.1576538696559563,0.4749755384100291,0.4565055541481158,0.5016452552169225,0.4777087825916891,89.0,95.0,86.0
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.5628971630665769,0.5730744563652733,0.8454238027708082,0.3559270285438891,0.5645251845746568,0.590422313345127,0.6042435961652266,0.5863970313616701,56.0,48.0,49.0
Cuba,0.277986343757603,0.3419236346590867,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2889106320013692,0.3026190057072563,0.622668266608487,0.3559270285438891,0.3577331015694209,0.3939816596822973,0.379987576288619,0.3772341125134457,130.0,126.0,133.0
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065,0.6953252904485538,0.710183117853415,0.7204298731060861,0.7086460938026848,29.0,26.0,28.0
Czechia,0.7541098835777815,0.7569119935642942,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.622668266608487,0.3559270285438891,0.6692246318674119,0.6435922176781093,0.68931223428074,0.6673763612754203,33.0,38.0,35.0
Côte D'Ivoire,0.4542193619161699,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.4761154470458174,0.4443531958935565,0.622668266608487,0.3559270285438891,0.4654293510825033,0.4796994618042415,0.4858080024777245,0.4769789384548231,91.0,89.0,91.0
