country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK
Oman,0.6513333733020896,0.6219728920815022,0.5751911639762107,0.435304029798536,True,True,True,True,False,False,False,False,4,1.0,A,0.6855012501702279,0.6194006826750315,0.5817606632486091,0.497478034002809,0.6137407795782832,0.6012012974482517,0.6180183822457471,0.6109868197574274,46.0,46.0,46.0,0.6109868197574273,48
Qatar,0.6568301168714523,0.6930377838391899,0.3893372982158029,0.4902462445082824,True,True,True,True,False,False,False,False,4,1.0,A,0.6913402063091022,0.6997867397270501,0.39085851423584594,0.5933451072423346,0.6262743546972336,0.5923488111374493,0.6099246513290502,0.6095159390545777,43.0,47.0,47.0,0.6095159390545777,49
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.42088062728274156,True,True,True,False,False,False,False,True,3,0.75,B,0.6805779471550732,0.6040285101514584,0.609032398821861,0.4723110582511101,0.58211650153458,0.570793995524568,0.5995021741251335,0.5841375570614272,49.0,55.0,52.0,0.6066134711157679,50
Liechtenstein,0.3973887009210851,0.883351736046467,0.6607462132644133,0.3843256359192592,True,True,False,False,False,False,True,True,2,0.5,C,0.41574666092614654,0.9150630574915718,0.6696396142792315,0.4085273164994053,0.5532758845416478,0.5596937038609366,0.5915784947392159,0.5681826943806001,60.0,58.0,54.0,0.5884886884064999,51
Brazil,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187,True,True,True,True,False,False,False,False,4,1.0,A,0.8762675454511877,0.38304368978648545,0.7272826442674811,0.12845925715959652,0.576679646002042,0.5614451609635013,0.6073831036470132,0.5818359702041854,50.0,57.0,48.0,0.5818359702041854,52
Bulgaria,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477,True,True,True,True,False,False,False,False,4,1.0,A,0.6779490018515717,0.47811830994404847,0.8272062834078759,0.2511638979117476,0.5623368880545871,0.5761420389267363,0.6016309224093009,0.5800366164635414,57.0,53.0,51.0,0.5800366164635414,53
Rwanda,0.5764678672268,0.5707738424204216,0.6460280373831776,0.4160237011195762,True,True,True,True,False,False,False,False,4,1.0,A,0.6059748176976061,0.561486153780818,0.6545216537580452,0.4638363489831464,0.5725293338850157,0.5763653995973271,0.586261519390292,0.5783854176242116,53.0,52.0,57.0,0.5783854176242116,54
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.3175215899087967,True,True,True,False,False,False,False,True,3,0.75,B,0.5628971630665769,0.5730744563652733,0.8454238027708082,0.29196287865475545,0.5645251845746568,0.590422313345127,0.6042435961652266,0.5863970313616701,56.0,48.0,49.0,0.5740443680359222,55
Andorra,0.4134003350806227,0.7753004172964071,0.6442899299938356,0.4205546047623522,True,True,False,False,False,False,True,True,2,0.5,C,0.4327551366517261,0.7928392806200825,0.6527363347684035,0.4717421910329789,0.5309931842461398,0.5393225949694407,0.5645944768872516,0.5449700853676107,69.0,64.0,64.0,0.5738321825306107,56
Slovakia,0.5020638543017402,0.41654082697091366,0.9380841121495328,0.41198481585825647,True,False,True,False,False,True,False,True,2,0.5,C,0.5269386097058208,0.38702329775475797,0.9545107450638158,0.45678901550380835,0.5365025427945146,0.5811337850029364,0.5820392062574121,0.566558511351621,67.0,50.0,59.0,0.5723410234841839,57
