country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK
New Zealand,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374,True,True,True,True,False,False,False,False,4,1.0,A,0.7825937514890532,0.9531607264261198,0.6545216537580452,0.4538363487417613,0.7332289162861614,0.7086836606104098,0.7546360241628084,0.7321828670197931,23.0,27.0,24.0,0.7321828670197931,32
Portugal,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301,True,True,True,True,False,False,False,False,4,1.0,A,0.8087653490537869,0.7093671329320342,0.8636413221337406,0.45557214821308734,0.7182050792099344,0.7204366534853075,0.7473596949645108,0.7286671425532509,26.0,25.0,26.0,0.7286671425532509,33
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065,0.6953252904485538,0.710183117853415,0.7204298731060861,0.7086460938026848,29.0,26.0,28.0,0.7086460938026848,34
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,True,True,True,True,False,False,False,False,4,1.0,A,0.8226598005986945,0.4710442670128139,0.7726628122613722,0.6765577601700221,0.7003333002464567,0.7025245355130829,0.6960745572902775,0.6996441310166057,27.0,28.0,32.0,0.6996441310166055,35
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704,0.6787473689791587,0.693248611911626,0.699032819740047,0.6903429335436105,31.0,30.0,31.0,0.6903429335436105,36
Latvia,0.6839439135939636,0.7128040076102724,0.8672472387425658,0.3661012152998907,True,True,True,False,False,False,False,True,3,0.75,B,0.7201420355782546,0.7221455832074993,0.8817497545543798,0.3767280547569588,0.6676907865010946,0.6781132644639474,0.7097913489852026,0.6851984666500816,34.0,31.0,29.0,0.689215530491084,37
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.4028134361212486,True,True,True,False,False,False,False,True,3,0.75,B,0.9242114256649178,0.4927391455554836,0.7000109086942292,0.4407861416189436,0.666051010641066,0.6443355561869886,0.6784677600134721,0.6629514422805088,35.0,37.0,37.0,0.6793393104184358,38
Hungary,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522,True,True,True,True,False,False,False,False,4,1.0,A,0.7776107982396114,0.5437236346136015,0.9635649612741355,0.27665059121179286,0.6437173731219168,0.661043771519082,0.6907370835343399,0.6651660760584464,40.0,33.0,34.0,0.6651660760584462,39
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,True,True,True,True,False,False,False,False,4,1.0,A,0.7260004463282524,0.7059984455433026,0.8726955383440601,0.2712394380384483,0.6467067567575491,0.6545253379892519,0.6940438022135759,0.665091965653459,39.0,34.0,33.0,0.665091965653459,40
Uruguay,0.6743093254595549,0.7147129937076987,0.8141461342395921,0.3008470431696006,True,True,True,True,False,False,False,False,4,1.0,A,0.7099076237263928,0.7243049598215165,0.8272062834078759,0.2628679467899351,0.6359121093330098,0.6397573952215935,0.6814019610768766,0.6523571552104933,41.0,39.0,36.0,0.6523571552104932,41
Romania,0.6618152681024874,0.5630706906556661,0.9380841121495328,0.3381785657104029,True,True,True,True,False,False,False,False,4,1.0,A,0.6966357197374362,0.5527726247522593,0.9545107450638158,0.3280066352186566,0.6234054125606266,0.6481827319447919,0.6687847699827477,0.6467909714960554,44.0,35.0,39.0,0.6467909714960554,42
Malta,0.7284453468786497,0.6159298724988426,0.5751911639762107,0.4503893289071978,True,True,True,True,False,False,False,False,4,1.0,A,0.7674140092090799,0.6125650356357804,0.5817606632486091,0.5237999338776186,0.650140188161924,0.6304577531881543,0.6491989392088664,0.6432656268529815,38.0,42.0,44.0,0.6432656268529815,43
Jordan,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328,True,True,True,True,False,False,False,False,4,1.0,A,0.6866114494051824,0.5351034312595689,0.9635649612741355,0.33699295831962467,0.6185550390984608,0.6459262179084255,0.6637191547661495,0.6427334705910119,45.0,36.0,41.0,0.6427334705910118,44
Malaysia,0.694076623688973,0.6343759533959803,0.7256796941376381,0.3700095659368269,True,True,True,True,False,False,False,False,4,1.0,A,0.7309055811332,0.6334305808397249,0.7363368604778008,0.38354762216494026,0.634453100729702,0.6314888704825022,0.6591924028199269,0.6417114580107103,42.0,41.0,43.0,0.6417114580107102,45
Serbia,0.733904250630777,0.4595242202315567,0.8141461342395921,0.3593533707365106,True,True,True,False,False,False,False,True,3,0.75,B,0.7732127697247906,0.4356445707557911,0.8272062834078759,0.364953936942743,0.6123034261715485,0.6201579494344943,0.638485363280339,0.6236489129621273,47.0,45.0,45.0,0.6253921763450796,46
Egypt,0.7068441861169577,0.5862050145616416,0.6460280373831776,0.3808603910891888,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.5789413423196712,0.6545216537580452,0.40248091153243704,0.5764765588227403,0.568499173005498,0.5899401491833657,0.5783052936705346,51.0,56.0,55.0,0.6194481038135639,47
