country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM
Chad,0.1065065938991995,0.2007546910387879,0.2212192013593882,0.4842051068569534,True,True,True,True,False,False,False,False,4,1.0,A,0.10675501104260648,0.14293375923522572,0.21817388458601497,0.5828041017745066
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,True,True,True,True,False,False,False,False,4,1.0,A,0.7260004463282524,0.7059984455433026,0.8726955383440601,0.2712394380384483
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.9242114256649178,0.4927391455554836,0.7000109086942292,0.3559270285438891
Colombia,0.6453604551979052,0.4377352101445263,0.615016992353441,0.2117285367743431,True,True,False,True,False,False,True,False,3,0.75,B,0.6791564741421433,0.41099762393519657,0.622668266608487,0.10736765571638102
Comoros,0.131274935751109,0.2179697149691569,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.1330653636870379,0.16240677694609565,0.622668266608487,0.3559270285438891
Congo,0.1002223309068626,0.4672230367361789,0.2300339847068818,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.10007950662542293,0.44435319589355654,0.22722810079633457,0.3559270285438891
Costa Rica,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125,True,True,True,True,False,False,False,False,4,1.0,A,0.562020419165104,0.6167805663799829,0.4726737209556016,0.15765386965595637
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.5628971630665769,0.5730744563652733,0.8454238027708082,0.3559270285438891
Cuba,0.277986343757603,0.3419236346590867,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2889106320013692,0.3026190057072563,0.622668266608487,0.3559270285438891
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065
