iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,PQC_NORM,AI_NORM,LEGAL_NORM,RES_NORM,QSSI_GLOBAL_SCORE,RANK,SOVEREIGN_TIER
GRL,,0.6017417162276976,0.4412042398246143,0.8639589810725603,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.8639589810725601,0.3572900758335642,0.5782713352593156,56,Transitional Capability State
BRA,Brazil,0.7168649107901445,0.8452322609972611,0.4152374450991052,0.2272247508177078,0.7168649107901445,0.8452322609972611,0.4152374450991051,0.2272247508177078,0.5756218499246765,57,Transitional Capability State
VNM,,0.6017417162276976,0.6682818291007868,0.4426232939516578,0.5745178281915206,0.6017417162276976,0.6682818291007868,0.44262329395165767,0.5745178281915206,0.5731523612697245,58,Transitional Capability State
QAT,Qatar,0.3893372982158029,0.6664088825661427,0.711174795121491,0.5592959458205625,0.3893372982158029,0.6664088825661427,0.7111747951214908,0.5592959458205625,0.5730562980507617,59,Transitional Capability State
BHR,Bahrain,0.6017417162276976,0.6553403461800812,0.6217065756648892,0.3572900758335642,0.6017417162276976,0.6553403461800812,0.6217065756648891,0.3572900758335642,0.5712422604962646,60,Transitional Capability State
TWN,,0.6017417162276976,0.7742067747439975,0.4893867991225805,0.3572900758335642,0.6017417162276976,0.7742067747439975,0.4893867991225804,0.3572900758335642,0.5678789235016666,61,Transitional Capability State
EGY,Egypt,0.6460280373831776,0.7194096099333618,0.4893867991225805,0.3572900758335642,0.6460280373831776,0.7194096099333618,0.4893867991225804,0.3572900758335642,0.5674655286456517,62,Transitional Capability State
MCO,,0.6017417162276976,0.3780659583349272,0.8662652848562253,0.3572900758335642,0.6017417162276976,0.3780659583349272,0.8662652848562251,0.3572900758335642,0.5630633408328102,63,Transitional Capability State
BRN,,0.6017417162276976,0.4260053737517214,0.7144575932509304,0.4789932431789589,0.6017417162276976,0.4260053737517214,0.7144575932509303,0.4789932431789589,0.561436905254764,64,Transitional Capability State
AND,,0.6017417162276976,0.42861802982189,0.7981150527527192,0.3572900758335642,0.6017417162276976,0.42861802982189,0.798115052752719,0.3572900758335642,0.5586638006786744,65,Transitional Capability State
AZE,Azerbaijan,0.7610450297366185,0.5891487016563157,0.4409352216767454,0.3572900758335642,0.7610450297366185,0.5891487016563157,0.4409352216767453,0.3572900758335642,0.5572925049209636,66,Transitional Capability State
MUS,Mauritius,0.5486406117247239,0.5971818908090518,0.6655232668973742,0.3791940493010752,0.5486406117247239,0.5971818908090518,0.6655232668973741,0.3791940493010752,0.5561072828042387,67,Transitional Capability State
GUF,,0.6017417162276976,0.4412042398246143,0.7750493363765567,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.7750493363765565,0.3572900758335642,0.5560439240853148,68,Transitional Capability State
MNE,Montenegro,0.7875955819881053,0.4234380060204625,0.5374705832186519,0.3804667395835188,0.7875955819881053,0.4234380060204625,0.5374705832186518,0.3804667395835188,0.5525991698229139,69,Transitional Capability State
BMU,,0.6017417162276976,0.4412042398246143,0.7487578977948282,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.748757897794828,0.3572900758335642,0.5494710644398827,70,Transitional Capability State
RWA,Rwanda,0.6460280373831776,0.58748710070325,0.5819586720869016,0.3134764510557967,0.6460280373831776,0.58748710070325,0.5819586720869014,0.3134764510557967,0.5488651446236505,71,Transitional Capability State
GUM,,0.6017417162276976,0.4412042398246143,0.7361699804058243,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.7361699804058242,0.3572900758335642,0.5463240850926318,72,Transitional Capability State
AIA,,0.6017417162276976,0.4412042398246143,0.7317238168456761,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.731723816845676,0.3572900758335642,0.5452125442025947,73,Transitional Capability State
MKD,North Macedonia,0.8496176720475787,0.39429736535669,0.4808372744067745,0.3572900758335642,0.8496176720475787,0.39429736535669,0.4808372744067744,0.3572900758335642,0.5451269767218525,74,Transitional Capability State
ABW,,0.6017417162276976,0.4412042398246143,0.7300932383308972,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.7300932383308971,0.3572900758335642,0.5448048995739,75,Transitional Capability State
ARG,Argentina,0.5751911639762107,0.7133852323319988,0.4604363259165757,0.3910042773575877,0.5751911639762107,0.7133852323319988,0.4604363259165756,0.3910042773575877,0.5442135942265244,76,Transitional Capability State
CYM,,0.6017417162276976,0.4412042398246143,0.7269338611176394,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.7269338611176392,0.3572900758335642,0.5440150552705855,77,Transitional Capability State
THA,Thailand,0.5486406117247239,0.7369413397232913,0.4762318681689205,0.3760738944624681,0.5486406117247239,0.7369413397232913,0.4762318681689204,0.3760738944624681,0.5431002643829637,78,Transitional Capability State
ASM,,0.6017417162276976,0.4412042398246143,0.7096247313729552,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.7096247313729551,0.3572900758335642,0.5396877728344145,79,Transitional Capability State
GEO,Georgia,0.637213254035684,0.4426917212153373,0.6006551256207798,0.4232757008653949,0.637213254035684,0.4426917212153373,0.6006551256207797,0.4232757008653949,0.5366558280928134,80,Transitional Capability State
DOM,Dominican Republic,0.7787807986406118,0.5119197414988065,0.4899833889273383,0.2579048545820465,0.7787807986406118,0.5119197414988065,0.48998338892733817,0.2579048545820465,0.535690993115129,81,Transitional Capability State
PER,Peru,0.681393372982158,0.6813279562859037,0.4179276274715938,0.2810250063197447,0.681393372982158,0.6813279562859037,0.4179276274715937,0.2810250063197447,0.5354369090979707,82,Transitional Capability State
MTQ,,0.6017417162276976,0.4412042398246143,0.6798475154354174,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.6798475154354173,0.3572900758335642,0.53224346885003,83,Transitional Capability State
SMR,,0.6017417162276976,0.3524265873537904,0.7518306947135285,0.3572900758335642,0.6017417162276976,0.3524265873537904,0.7518306947135283,0.3572900758335642,0.5280448505518518,84,Transitional Capability State
REU,,0.6017417162276976,0.4412042398246143,0.6584006778375853,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.6584006778375852,0.3572900758335642,0.5268817594505719,85,Transitional Capability State
PHL,Philippines,0.5486406117247239,0.7324265734189169,0.4426388485626414,0.3260423910971915,0.5486406117247239,0.7324265734189169,0.4426388485626413,0.3260423910971915,0.523567017232245,86,Transitional Capability State
COK,,0.6017417162276976,0.4412042398246143,0.6197881768477058,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.6197881768477057,0.3572900758335642,0.5172286342031021,87,Transitional Capability State
MAR,Morocco,0.796516567544605,0.4511023131923206,0.4542128481220936,0.2419816495511703,0.796516567544605,0.4511023131923206,0.4542128481220935,0.2419816495511703,0.5136800905022191,88,Transitional Capability State
KWT,Kuwait,0.3539719626168224,0.4620490521482448,0.5726450345543262,0.738434037861845,0.3539719626168224,0.4620490521482448,0.5726450345543261,0.738434037861845,0.5125519180330584,89,Transitional Capability State
GHA,Ghana,0.6282922684791844,0.5336179984684248,0.4893867991225805,0.3389102785195888,0.6282922684791844,0.5336179984684248,0.4893867991225804,0.3389102785195888,0.5120209356454244,90,Transitional Capability State
MDA,,0.6017417162276976,0.6045800146906746,0.4844592169484449,0.295257389543327,0.6017417162276976,0.6045800146906746,0.4844592169484448,0.295257389543327,0.5118338006867544,91,Transitional Capability State
BTN,Bhutan,0.5044604927782498,0.4029193029152518,0.6673773906380702,0.4616902290105274,0.5044604927782498,0.4029193029152518,0.6673773906380701,0.4616902290105274,0.5112503670239109,92,Transitional Capability State
IDN,Indonesia,0.4601741716227697,0.6974547190432555,0.4725197525464588,0.3957387633154504,0.4601741716227697,0.6974547190432555,0.47251975254645867,0.3957387633154504,0.5096936220473495,93,Transitional Capability State
ZMB,,0.6017417162276976,0.5077219935667998,0.378805296615551,0.4961450363257844,0.6017417162276976,0.5077219935667998,0.3788052966155509,0.4961450363257844,0.5013833446790538,94,Transitional Capability State
TUN,Tunisia,0.796516567544605,0.430385303565745,0.4248337914653219,0.2134864769972581,0.796516567544605,0.430385303565745,0.4248337914653218,0.2134864769972581,0.49545703942059977,95,Transitional Capability State
COL,,0.6017417162276976,0.6533315346287081,0.4413551868971405,0.1835783149008063,0.6017417162276976,0.6533315346287081,0.4413551868971404,0.1835783149008063,0.49090985822993266,96,Transitional Capability State
CIV,,0.6017417162276976,0.4731337131736545,0.4893867991225805,0.3467777374262633,0.6017417162276976,0.4731337131736545,0.4893867991225804,0.3467777374262633,0.4905081904276206,97,Transitional Capability State
LKA,,0.6017417162276976,0.5243781488044758,0.4251890093217362,0.3572900758335642,0.6017417162276976,0.5243781488044758,0.4251890093217361,0.3572900758335642,0.48937231956657506,98,Transitional Capability State
BEN,Benin,0.5841121495327103,0.4916888930664016,0.4309409362983232,0.4087117789926805,0.5841121495327103,0.4916888930664016,0.4309409362983231,0.4087117789926805,0.48763345799953034,99,Transitional Capability State
ZAF,South Africa,0.5044604927782498,0.5835006983528217,0.472166017107853,0.3572900758335642,0.5044604927782498,0.5835006983528217,0.4721660171078529,0.3572900758335642,0.4867128418653564,100,Transitional Capability State
UZB,Uzbekistan,0.5398258283772303,0.6415987692719716,0.3711905607488056,0.3572900758335642,0.5398258283772303,0.6415987692719716,0.3711905607488055,0.3572900758335642,0.4866030961850762,101,Transitional Capability State
BGD,Bangladesh,0.6637638062871708,0.564886162534573,0.2760312221516003,0.3718711882711588,0.6637638062871708,0.564886162534573,0.27603122215160025,0.3718711882711588,0.4837327257119264,102,Transitional Capability State
CRI,Costa Rica,0.4689889549702634,0.5488510049814187,0.633620995660258,0.2130469407970896,0.4689889549702634,0.5488510049814187,0.6336209956602579,0.2130469407970896,0.47892407481091603,103,Transitional Capability State
FSM,,0.6017417162276976,0.4412042398246143,0.4893867991225805,0.3052529682619253,0.6017417162276976,0.4412042398246143,0.4893867991225804,0.3052529682619253,0.47422086825749304,104,Transitional Capability State
NPL,,0.6017417162276976,0.4355039143889146,0.3550275475260426,0.4691829212412079,0.6017417162276976,0.4355039143889146,0.35502754752604254,0.4691829212412079,0.47199196459529014,105,Transitional Capability State
TZA,Tanzania,0.5663763806287171,0.4397167584338914,0.398299455042813,0.4348338738357629,0.5663763806287171,0.4397167584338914,0.3982994550428129,0.4348338738357629,0.4663837423249438,106,Transitional Capability State
PAN,Panama,0.5751911639762107,0.392273457692347,0.4596818084148246,0.3908902069319889,0.5751911639762107,0.392273457692347,0.4596818084148245,0.3908902069319889,0.4637242071060539,107,Transitional Capability State
NIU,,0.6017417162276976,0.4412042398246143,0.3952436070262364,0.3572900758335642,0.6017417162276976,0.4412042398246143,0.3952436070262363,0.3572900758335642,0.46109249174773476,108,Transitional Capability State
SYC,,0.6017417162276976,0.2238090983377055,0.6738508400114821,0.2727219326481981,0.6017417162276976,0.2238090983377055,0.673850840011482,0.2727219326481981,0.4594818859852457,109,Transitional Capability State
SLV,,0.6017417162276976,0.4141075796786942,0.3982799796071188,0.3728974171456096,0.6017417162276976,0.4141075796786942,0.3982799796071187,0.3728974171456096,0.45819888811888443,110,Transitional Capability State
MNG,Mongolia,0.4867247238742566,0.4446552444278007,0.4365994608695622,0.4488388003979421,0.4867247238742566,0.4446552444278007,0.4365994608695621,0.4488388003979421,0.4560988535662061,111,Transitional Capability State
PLW,,0.6017417162276976,0.1644810425833476,0.6348775123121012,0.3572900758335642,0.6017417162276976,0.1644810425833476,0.6348775123121011,0.3572900758335642,0.45182016875888426,112,Transitional Capability State
CPV,,0.6017417162276976,0.3269995904806101,0.6110502264113479,0.1838094143946668,0.6017417162276976,0.3269995904806101,0.6110502264113478,0.1838094143946668,0.45179685197023206,113,Transitional Capability State
GUY,,0.6017417162276976,0.2185848147237465,0.4237689288790021,0.5531977675043599,0.6017417162276976,0.2185848147237465,0.42376892887900197,0.5531977675043599,0.4517505042698683,114,Transitional Capability State
LAO,,0.6017417162276976,0.4412042398246143,0.4893867991225805,0.1728254916356577,0.6017417162276976,0.4412042398246143,0.4893867991225804,0.1728254916356577,0.44773537293223953,115,Transitional Capability State
ETH,Ethiopia,0.5929269328802039,0.4768483854906247,0.316608449744608,0.3572900758335642,0.5929269328802039,0.4768483854906247,0.31660844974460794,0.3572900758335642,0.4477003038395822,116,Transitional Capability State
BHS,,0.6017417162276976,0.2845249679589149,0.4893867991225805,0.3572900758335642,0.6017417162276976,0.2845249679589149,0.4893867991225804,0.3572900758335642,0.44545847180539594,117,Transitional Capability State
BWA,Botswana,0.477909940526763,0.36884017625757,0.6079655397785555,0.2864435194353647,0.477909940526763,0.36884017625757,0.6079655397785554,0.2864435194353647,0.44486311505413323,118,Transitional Capability State
NGA,Nigeria,0.5751911639762107,0.5951428870317388,0.2694272938417427,0.2571657907027119,0.5751911639762107,0.5951428870317388,0.26942729384174263,0.2571657907027119,0.440133052551776,119,Transitional Capability State
NAM,,0.6017417162276976,0.3857660044759476,0.5425436564148136,0.1127669046001624,0.6017417162276976,0.3857660044759476,0.5425436564148135,0.1127669046001624,0.43515331101103194,120,Transitional Capability State
JAM,Jamaica,0.4424384027187765,0.4712154783001006,0.5051449920853466,0.2879784277778693,0.4424384027187765,0.4712154783001006,0.5051449920853465,0.2879784277778693,0.43441732396756855,121,Transitional Capability State
TUV,,0.6017417162276976,0.0948824873775758,0.5448971947194006,0.4470741904447657,0.6017417162276976,0.0948824873775758,0.5448971947194005,0.4470741904447657,0.4298822734815064,122,Transitional Capability State
BRB,,0.6017417162276976,0.1823167516854311,0.6836323846532618,0.1613698987430621,0.6017417162276976,0.1823167516854311,0.6836323846532617,0.1613698987430621,0.42928377870159484,123,Transitional Capability State
LCA,,0.6017417162276976,0.2106562698354214,0.4893867991225805,0.3572900758335642,0.6017417162276976,0.2106562698354214,0.4893867991225804,0.3572900758335642,0.42699129727452256,124,Transitional Capability State
KEN,Kenya,0.4955395072217502,0.6312870955871608,0.3833788121592406,0.1201173174934758,0.4955395072217502,0.6312870955871608,0.38337881215924047,0.1201173174934758,0.42635179260182055,125,Transitional Capability State
PRY,,0.6017417162276976,0.3646273322125934,0.3712321788111102,0.2976799253347673,0.6017417162276976,0.3646273322125934,0.37123217881111015,0.2976799253347673,0.4240233776911886,126,Transitional Capability State
LSO,,0.6017417162276976,0.2866243561881074,0.3870058904541797,0.3572900758335642,0.6017417162276976,0.2866243561881074,0.3870058904541796,0.3572900758335642,0.4203880916955938,127,Transitional Capability State
GRD,,0.6017417162276976,0.0976310084644734,0.5671686003094405,0.3576568948639351,0.6017417162276976,0.0976310084644734,0.5671686003094404,0.3576568948639351,0.4182537960345747,128,Transitional Capability State
KIR,,0.6017417162276976,0.1686647229287626,0.5142303790039608,0.3039289592364869,0.6017417162276976,0.1686647229287626,0.5142303790039607,0.3039289592364869,0.4120320821987875,129,Transitional Capability State
FJI,Fiji,0.3274214103653356,0.374592823825475,0.5934572771997378,0.3572900758335642,0.3274214103653356,0.374592823825475,0.5934572771997377,0.3572900758335642,0.4116969635326167,130,Transitional Capability State
CUB,,0.6017417162276976,0.291637294220488,0.3400955662567416,0.3572900758335642,0.6017417162276976,0.291637294220488,0.34009556625674153,0.3572900758335642,0.4099137451543295,131,Transitional Capability State
TTO,,0.6017417162276976,0.3206883867328192,0.4495730979264007,0.1805970771865796,0.6017417162276976,0.3206883867328192,0.4495730979264006,0.1805970771865796,0.40920730147043016,132,Transitional Capability State
KNA,,0.6017417162276976,0.1297778326620097,0.4893867991225805,0.3572900758335642,0.6017417162276976,0.1297778326620097,0.4893867991225804,0.3572900758335642,0.40677168798116964,133,Transitional Capability State
TGO,,0.6017417162276976,0.3070535111418769,0.3466532323711827,0.3025950380931533,0.6017417162276976,0.3070535111418769,0.3466532323711826,0.3025950380931533,0.4044682083652048,134,Transitional Capability State
VUT,,0.6017417162276976,0.2553067896775368,0.448067251090738,0.2382072376465025,0.6017417162276976,0.2553067896775368,0.44806725109073786,0.2382072376465025,0.40400747258967845,135,Transitional Capability State
ARM,Armenia,0.362786745964316,0.4008048185730895,0.4869489887030817,0.3572900758335642,0.362786745964316,0.4008048185730895,0.48694898870308156,0.3572900758335642,0.4022324907750504,136,Transitional Capability State
