iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,QVP_GLOBAL_SCORE,RANK
PAN,Panama,0.5751911639762107,0.392273457692347,0.4596818084148246,0.39089020693198895,0.46372420710605394,107
NIU,,0.6017417162276976,0.4412042398246143,0.39524360702623645,0.35729007583356426,0.4610924917477348,108
SYC,,0.6017417162276976,0.2238090983377055,0.6738508400114821,0.27272193264819816,0.45948188598524575,109
SLV,,0.6017417162276976,0.4141075796786942,0.39827997960711886,0.37289741714560964,0.45819888811888443,110
MNG,Mongolia,0.4867247238742566,0.4446552444278007,0.4365994608695622,0.44883880039794216,0.45609885356620616,111
PLW,,0.6017417162276976,0.1644810425833476,0.6348775123121012,0.35729007583356426,0.4518201687588843,112
CPV,,0.6017417162276976,0.3269995904806101,0.6110502264113479,0.18380941439466686,0.45179685197023217,113
GUY,,0.6017417162276976,0.2185848147237465,0.4237689288790021,0.5531977675043599,0.4517505042698684,114
LAO,,0.6017417162276976,0.4412042398246143,0.4893867991225805,0.17282549163565777,0.44773537293223953,115
ETH,Ethiopia,0.5929269328802039,0.4768483854906247,0.31660844974460806,0.35729007583356426,0.4477003038395822,116
BHS,,0.6017417162276976,0.2845249679589149,0.4893867991225805,0.35729007583356426,0.44545847180539594,117
BWA,Botswana,0.477909940526763,0.36884017625757,0.6079655397785555,0.2864435194353647,0.44486311505413323,118
NGA,Nigeria,0.5751911639762107,0.5951428870317388,0.2694272938417427,0.2571657907027119,0.44013305255177604,119
NAM,,0.6017417162276976,0.3857660044759476,0.5425436564148136,0.11276690460016248,0.43515331101103205,120
JAM,Jamaica,0.4424384027187765,0.4712154783001006,0.5051449920853466,0.2879784277778693,0.4344173239675686,121
TUV,,0.6017417162276976,0.0948824873775758,0.5448971947194006,0.4470741904447657,0.4298822734815064,122
BRB,,0.6017417162276976,0.1823167516854311,0.6836323846532618,0.1613698987430621,0.4292837787015949,123
LCA,,0.6017417162276976,0.2106562698354214,0.4893867991225805,0.35729007583356426,0.42699129727452256,124
KEN,Kenya,0.4955395072217502,0.6312870955871608,0.3833788121592406,0.12011731749347583,0.42635179260182055,125
PRY,,0.6017417162276976,0.3646273322125934,0.37123217881111026,0.29767992533476734,0.4240233776911886,126
LSO,,0.6017417162276976,0.2866243561881074,0.38700589045417977,0.35729007583356426,0.4203880916955939,127
GRD,,0.6017417162276976,0.0976310084644734,0.5671686003094405,0.3576568948639351,0.4182537960345748,128
KIR,,0.6017417162276976,0.1686647229287626,0.5142303790039608,0.3039289592364869,0.4120320821987875,129
FJI,Fiji,0.3274214103653356,0.374592823825475,0.5934572771997378,0.35729007583356426,0.4116969635326167,130
CUB,,0.6017417162276976,0.291637294220488,0.34009556625674164,0.35729007583356426,0.4099137451543295,131
TTO,,0.6017417162276976,0.3206883867328192,0.4495730979264007,0.18059707718657966,0.4092073014704302,132
KNA,,0.6017417162276976,0.1297778326620097,0.4893867991225805,0.35729007583356426,0.40677168798116964,133
TGO,,0.6017417162276976,0.3070535111418769,0.3466532323711827,0.30259503809315336,0.4044682083652048,134
VUT,,0.6017417162276976,0.2553067896775368,0.44806725109073803,0.2382072376465025,0.40400747258967845,135
ARM,Armenia,0.362786745964316,0.4008048185730895,0.48694898870308173,0.35729007583356426,0.40223249077505047,136
GAB,,0.6017417162276976,0.2466385352536871,0.2912834068870058,0.41602325977378124,0.39820765235823874,137
DMA,,0.6017417162276976,0.1041394902072509,0.5697586438512975,0.24571627946681804,0.3981403042763099,138
MHL,,0.6017417162276976,0.0683805809043991,0.5150262006310331,0.35729007583356426,0.39783222541888014,139
SLB,,0.6017417162276976,0.1415418187710642,0.3931280301208007,0.4116703060303906,0.3965240382973536,140
STP,,0.6017417162276976,0.0818493992526727,0.4893867991225805,0.35729007583356426,0.3947895796288354,141
WSM,,0.6017417162276976,0.1769857667543048,0.6268493112266226,0.0653336581872146,0.39454801600098405,142
KGZ,Kyrgyzstan,0.5929269328802039,0.3134100032285773,0.2869248189011133,0.3321710037418004,0.39439598614484395,143
SEN,Senegal,0.3539719626168224,0.4563416929192493,0.4925787009809897,0.2508043585034512,0.3935825589607967,144
BLR,,0.6017417162276976,0.2958350421524946,0.26814141474755676,0.35729007583356426,0.3929746442600349,145
BLZ,,0.6017417162276976,0.1660973551975037,0.42916031029251334,0.30745391051752113,0.39082771334431776,146
GNB,,0.6017417162276976,0.4412042398246143,0.18439390749908074,0.22883089547973753,0.38268823079518055,147
DZA,Algeria,0.3451571792693288,0.4678027282425281,0.35771665292990135,0.35729007583356426,0.3813850142406189,148
YEM,,0.6017417162276976,0.0271469252253691,0.4893867991225805,0.35729007583356426,0.3811139611220095,149
MEX,Mexico,0.362786745964316,0.5160269127529938,0.345207994916169,0.28161139184738554,0.3804670290760626,150
TON,,0.6017417162276976,0.1533661893319983,0.5045409607625769,0.17728524799373532,0.38045635199070016,151
ECU,Ecuador,0.3893372982158029,0.6295651101822155,0.3384891888947811,0.10631137984777095,0.38007704020354427,152
