country,oecd_ai,oxford_ai,AI_INDEX
Bahrain,0.6553403461800812,0.6380568893865334,0.6466986177833073
Colombia,0.6533315346287081,0.6373893757671023,0.6453604551979052
Bulgaria,0.6514887803200039,0.6369587218190824,0.6442237510695432
Kazakhstan,0.6497215065761489,0.6366357313580674,0.6431786189671082
Uzbekistan,0.6415987692719716,0.6272474752912298,0.6344231222816007
Kenya,0.6312870955871608,0.6147369781012468,0.6230120368442038
Ecuador,0.6295651101822155,0.6144785857324347,0.6220218479573252
Republic of Moldova,0.6045800146906746,0.5810383066686764,0.5928091606796755
Mauritius,0.5971818908090518,0.5726836200770871,0.5849327554430694
Nigeria,0.5951428870317388,0.5719730410628538,0.5835579640472963
Azerbaijan,0.5891487016563157,0.5656208953295581,0.5773847984929369
Rwanda,0.58748710070325,0.56544863375035,0.5764678672268
South Africa,0.5835006983528217,0.5619603367713875,0.5727305175621046
Bangladesh,0.564886162534573,0.5376068560108526,0.5512465092727128
Iran (Islamic Republic of),0.5554047750631059,0.5262806571779248,0.5408427161205154
Croatia,0.5504371253696351,0.5213927348678971,0.535914930118766
Costa Rica,0.5488510049814187,0.521328136775694,0.5350895708785564
Ghana,0.5336179984684248,0.5017979802329839,0.5177079893507044
Sri Lanka,0.5243781488044758,0.4908163045584721,0.5075972266814739
Pakistan,0.5198784786130712,0.4865958958678753,0.5032371872404733
Slovakia,0.5180055320784271,0.4861221765250533,0.5020638543017402
Mexico,0.5160269127529938,0.4854977283004241,0.500762320526709
Dominican Republic,0.5119197414988065,0.4818371697422536,0.49687845562053
Zambia,0.5077219935667998,0.478047414999677,0.4928847042832384
Benin,0.4916888930664016,0.4573760254947137,0.47453245928055765
Ethiopia,0.4768483854906247,0.4384057190844297,0.4576270522875272
Côte D'Ivoire,0.4731337131736545,0.4353050106586853,0.4542193619161699
Jamaica,0.4712154783001006,0.4347666932236601,0.4529910857618803
Algeria,0.4678027282425281,0.4320966387459358,0.4499496834942319
Albania,0.463906902569919,0.4287375379513792,0.4463222202606491
Kuwait,0.4620490521482448,0.4282853513059581,0.44516720172710145
Senegal,0.4563416929192493,0.4223423268232811,0.4393420098712652
Morocco,0.4511023131923206,0.4170668159600353,0.43408456457617794
Mongolia,0.4446552444278007,0.4100686893047093,0.427361966866255
Georgia,0.4426917212153373,0.4094657737774811,0.42607874749640917
United Republic of Tanzania,0.4397167584338914,0.4074201675243858,0.42356846297913864
Nepal,0.4355039143889146,0.4036088800844081,0.4195563972366614
Tunisia,0.430385303565745,0.3985056308003704,0.4144454671830577
Andorra,0.42861802982189,0.3981826403393553,0.4134003350806227
Brunei Darussalam,0.4260053737517214,0.396653818823884,0.4113295962878027
Montenegro,0.4234380060204625,0.3951895954006159,0.4093138007105392
El Salvador,0.4141075796786942,0.3840787235416981,0.39909315161019615
Liechtenstein,0.4117968458679234,0.3829805559742469,0.39738870092108514
Bhutan,0.4029193029152518,0.3725156650373592,0.3877174839763055
Armenia,0.4008048185730895,0.3716974225361212,0.38625112055460536
North Macedonia,0.39429736535669,0.3646131650911909,0.37945526522394046
Panama,0.392273457692347,0.3639241187743589,0.37809878823335297
Namibia,0.3857660044759476,0.3568398613294287,0.3713029329026881
Monaco,0.3780659583349272,0.3480545207898193,0.3630602395623732
Fiji,0.374592823825475,0.3452983355224909,0.35994557967398294
Botswana,0.36884017625757,0.3392907129476109,0.35406544460259043
Paraguay,0.3646273322125934,0.3354794255076333,0.35005337886011334
Uganda,0.3624826556444914,0.3346181176115932,0.3485503866280423
Cameroon,0.3575451981769602,0.3297732606963675,0.3436592294366638
San Marino,0.3524265873537904,0.3246700114123296,0.33854829938305997
