country,imf_res,ndgain_res,global_resilience,RES_INDEX
Burundi,0.26060558286989816,0.3768877465399232,0.26060558286989816,0.2993663040932398
"Tajikistan, Republic of",0.41016320990431787,0.0736291902246616,0.41016320990431787,0.29798520334443246
St. Lucia,0.3134138537653735,0.2665903548592637,0.3134138537653735,0.29780602079667023
Jamaica,0.2775304438136141,0.338089486900921,0.2775304438136141,0.29771679150938307
St. Vincent and the Grenadines,0.22917833726366818,0.4263827192902945,0.22917833726366818,0.29491313127254365
Papua New Guinea,0.19133145081176797,0.5003725799875817,0.19133145081176797,0.2943451605370392
Bulgaria,0.3202479732871889,0.2419221205092652,0.3202479732871889,0.2941393556945477
Guatemala,0.3294896035516197,0.2181667274925252,0.3294896035516197,0.2923819781985882
Dominican Republic,0.24854795307463481,0.3779171179782042,0.24854795307463481,0.2916710080424913
"Moldova, Republic of",0.2845453216461579,0.2975911077995681,0.2845453216461579,0.288893917030628
Mali,0.16176812573853858,0.5417141636150349,0.16176812573853858,0.28841680503070405
Algeria,0.34432743480624395,0.1380080076020216,0.34432743480624395,0.2755542924048365
Djibouti,0.21625082473853283,0.3873361309396531,0.21625082473853283,0.27327926013890624
Barbados,0.15551532787332503,0.5075292996569373,0.15551532787332503,0.2728533184678624
Nigeria,0.24783570275775843,0.3184889371454499,0.24783570275775843,0.2713867808869889
Albania,0.2726362057950433,0.2652932441300583,0.2726362057950433,0.2701885519067149
Peru,0.2708292955429354,0.2639508923709832,0.2708292955429354,0.26853649448561795
"Mozambique, Republic of",0.21570292822460801,0.3575102193534731,0.21570292822460801,0.262972025267563
Somalia,0.12977485354077933,0.5263452039870767,0.12977485354077933,0.2619649703562118
Cabo Verde,0.17714072803196496,0.41403166269276,0.17714072803196496,0.2561043729188966
Bosnia and Herzegovina,0.3198549025396742,0.125120047268294,0.3198549025396742,0.2549432841158808
Haiti,0.22103088053296596,0.3125618735664544,0.22103088053296596,0.25154121154412873
Mexico,0.27139440674583976,0.1917683945809346,0.27139440674583976,0.24485240269087138
Samoa,0.06296332434542887,0.6000742002809709,0.06296332434542887,0.24200028299060952
Costa Rica,0.20531750412276156,0.3110089407911145,0.20531750412276156,0.2405479830122125
Paraguay,0.286879966774061,0.1300176827396996,0.286879966774061,0.23459253876260722
Lao People's Democratic Republic,0.1665553068195344,0.3658604641313203,0.1665553068195344,0.23299035925679634
"North Macedonia, Republic of",0.2221516048828804,0.250904813321311,0.2221516048828804,0.2317360076956906
Brazil,0.2189809369628155,0.2334870515036251,0.2189809369628155,0.22381630847641873
Cameroon,0.15640649155385014,0.3473959353168684,0.15640649155385014,0.22006963947485622
Malawi,0.09751802897533493,0.4588550658854659,0.09751802897533493,0.21796370794537856
Kenya,0.11575940840742022,0.4210958439536829,0.11575940840742022,0.21753822025617442
Zimbabwe,0.1829997244590866,0.2822444334320818,0.1829997244590866,0.21608129411675167
"Eswatini, Kingdom of",0.17380562753975554,0.2982655613595461,0.17380562753975554,0.21529227214635238
Kyrgyz Republic,0.32011969369311216,0.0,0.32011969369311216,0.21341312912874144
Colombia,0.17691801292934034,0.2813495844643486,0.17691801292934034,0.2117285367743431
Ukraine,0.19550376286380391,0.2410818439992791,0.19550376286380391,0.21069645657562897
Namibia,0.10867567172535154,0.4096667920207204,0.10867567172535154,0.20900604515714116
"Yemen, Republic of",0.1488711011406534,0.3281794309412519,0.1488711011406534,0.20864054440751956
Tunisia,0.20574109375635383,0.1925034079576859,0.20574109375635383,0.20132853182346452
"Fiji, Republic of",0.029070466376173644,0.5434919580580782,0.029070466376173644,0.20054429693680845
Morocco,0.23320244892262615,0.1341680592029745,0.23320244892262615,0.20019098568274227
Ecuador,0.10245435624903078,0.3787776220288869,0.10245435624903078,0.1945621115089828
Trinidad and Tobago,0.1740449358300327,0.2204723235824268,0.1740449358300327,0.1895207317474974
Iraq,0.16481092255955634,0.2182237937925159,0.16481092255955634,0.18261521297054287
Sudan,0.006044460650093622,0.5311305378428711,0.006044460650093622,0.18107315304768615
"Timor-Leste, Democratic Republic of",0.01829821332475359,0.4999199428299548,0.01829821332475359,0.1788387898264873
"Equatorial Guinea, Republic of",0.2412243029308319,0.0396784944541562,0.2412243029308319,0.17404236677194004
Suriname,0.15049853276632877,0.2133476507783791,0.15049853276632877,0.17144823877034554
Liberia,0.0,0.4797679497525944,0.0,0.15992264991753147
Pakistan,0.018165223846225893,0.4142552809220975,0.018165223846225893,0.15019524287151642
"Egypt, Arab Republic of",0.08784820656270863,0.2595043070849901,0.08784820656270863,0.14506690673680248
Bolivia,0.04832967810182852,0.3242228626437799,0.04832967810182852,0.14029407294914567
"Venezuela, República Bolivariana de",0.10082700082809581,0.060866067493609,0.10082700082809581,0.08750668971660021
Turkmenistan,0.0737099663588203,0.0432681312996418,0.0737099663588203,0.0635626880057608
