country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE
Viet Nam,0.44751373529560196,0.42437074451026746,0.4672794842128843,0.41657639423516796,0.4389350895634804
Colombia,0.38935774337174595,0.4916051877337516,0.4630565946660738,0.40692131480653376,0.4377352101445263
Azerbaijan,0.40695349095862776,0.5207597052850466,0.5253180446298535,0.296320119943122,0.4373378402041625
Mongolia,0.49818288180473563,0.47141514263580336,0.4005924707992588,0.36275092561314215,0.433235355213235
Benin,0.4241989669483911,0.4218617729712012,0.4463642965483942,0.41910006263044847,0.42788127477460874
Belize,0.4278257270927404,0.38039416823265926,0.45901481796878435,0.43755109202108117,0.4261964513288163
Sri Lanka,0.4608073054092227,0.41659454282313463,0.4263528539176187,0.38600056679430034,0.4224388172360691
Tunisia,0.4355517650671972,0.3947819122062721,0.43425286884415637,0.42382429817846906,0.4221027110740237
Guyana,0.4427138432942367,0.38101665405114277,0.46594463040603556,0.39470543630362986,0.4210951410137612
Peru,0.40212615450926126,0.5082632940806378,0.442997246069521,0.30888577587563726,0.41556811763376433
Côte d’Ivoire,0.3850043204895447,0.44832982582178765,0.4171004219093903,0.40891398691998304,0.4148371387851765
Brazil,0.41621672558824047,0.4177162986449019,0.43769902143811057,0.3804586521168324,0.41302267444702134
Tanzania,0.39889719690688774,0.3599279853350384,0.4223260576606355,0.4068327388365442,0.3969959946847765
El Salvador,0.35301377065398776,0.4461018631263055,0.44686774714795546,0.3419268873953798,0.39697756708090715
Türkiye,0.32224388362030415,0.4377046153381014,0.4721265662589367,0.3449995659662586,0.3942686577959002
Niue,0.7541483998431787,0.27123726554951794,0.1897557999570845,0.361276773321938,0.3941045596679298
Solomon Islands,0.5580700978993145,0.27520169541122463,0.29292189243343125,0.44221754065223434,0.39210280659905117
São Tomé and Príncipe,0.4382317627325264,0.2746224251103993,0.32659877570049506,0.5167242919792999,0.38904431388068017
Bosnia and Herzegovina,0.446283537913949,0.40444443164695626,0.34532039568306383,0.3565677714621413,0.3881540341765276
Lesotho,0.42559314490685113,0.37205004601696773,0.3426763816581376,0.4049206467300348,0.3863100548279978
Kenya,0.4118838150650194,0.4083509848686899,0.42110433200644515,0.2901733612101403,0.3828781232875737
"Gambia, The",0.42852522929067394,0.3290549970851721,0.36766573251905016,0.3976136691631687,0.3807149070145162
Zambia,0.38901854418985543,0.38745281476151855,0.36828758923749466,0.3694437534778418,0.37855067541667764
Suriname,0.47244053373678574,0.26793642543841495,0.3859774903499687,0.38781491514559935,0.3785423411676922
Malawi,0.48717432223628915,0.34802987269658703,0.32500716568137894,0.32536685731217724,0.3713945544816081
Paraguay,0.38371708124226167,0.45451314815927923,0.40838786969739016,0.23892194933675096,0.3713850121089205
Uzbekistan,0.3665353662760873,0.3619978670586537,0.455758829374941,0.3010904701401099,0.37134563321244796
"Egypt, Arab Rep.",0.34398059620744703,0.36854255846662415,0.4662101682557238,0.28439234885596376,0.3657814179464397
Ukraine,0.3513955419002077,0.4162012840119741,0.3535120687772453,0.3199166894176324,0.36025639602676485
Algeria,0.3569369071777429,0.3077919066045716,0.4315926615696636,0.3380651589190763,0.35859665856776357
Nepal,0.44994609413573433,0.35585766425765947,0.2893485296237421,0.3290566496060081,0.356052234405786
Togo,0.37205884534440786,0.3904636717905009,0.30800571349950584,0.32198569081053835,0.3481284803612382
Mexico,0.24879459134282403,0.4414117197076557,0.43861314272882895,0.25822454879217066,0.3467610006428698
Burkina Faso,0.3126753058476714,0.36228168335119176,0.29151858228167427,0.4163792523875647,0.34571370596702555
Cuba,0.3742566251311508,0.14354380922112606,0.42747654415661085,0.4224175601274593,0.34192363465908676
Ecuador,0.2934693262513409,0.3332786480669574,0.43868505782607176,0.29618170706550406,0.3404036848024685
Timor-Leste,0.37375869767198455,0.3122075439032826,0.28619684262627465,0.3876671966213288,0.33995757020571765
Uganda,0.3470599579092073,0.3625887750752282,0.4093702227387092,0.2179483084884822,0.3342418160529067
Papua New Guinea,0.38661578276735203,0.3443236561527703,0.2857736171133316,0.2912023589377703,0.32697885374280605
Lao PDR,0.3461390547247262,0.33577487810692513,0.35731707815562974,0.24925921308418952,0.32212255601786766
Ethiopia,0.27362242415815524,0.28845383828062227,0.3429229188294163,0.37380157631680294,0.31970018939624917
Eswatini,0.3183490905868123,0.3353013790453209,0.3125689083409519,0.2940035653723515,0.31505573583635915
Niger,0.2980385429354549,0.30543772868261415,0.3151461729377065,0.3326613124656467,0.3128209392553556
Guatemala,0.2941230009529139,0.414144215773328,0.2837695845674603,0.2565269920505881,0.3121409483360726
West Bank and Gaza,0.28770594485307893,0.3761838586322276,0.24127160265960987,0.34324714037478365,0.31210213662992503
Cambodia,0.27188656282208046,0.336892122814134,0.42209009888123733,0.191136121115128,0.3055012264081449
Djibouti,0.2827371748604788,0.2837608394224382,0.37727387699140474,0.2697284878838872,0.30337509478955227
Mauritania,0.3174896061842373,0.30167205180967077,0.32152889610146057,0.259863307633052,0.3001384654321052
Angola,0.245038416430745,0.30290329814064093,0.3116594136929669,0.3313595558950215,0.29774017103984357
Gabon,0.24835914732087422,0.31479589186234525,0.3606291030291798,0.25916667084080447,0.2957377032633009
Kyrgyz Republic,0.3003169999357186,0.36439689217800325,0.2884560367648304,0.21328454815525089,0.29161361925845075
Russian Federation,0.24816665764075563,0.23205386846669734,0.4157896446122992,0.26965293981921123,0.29141577763474086
Pakistan,0.28115266019152774,0.29815599794072417,0.3531787259061403,0.22956166360330904,0.29051226191042534
Madagascar,0.3129478812661384,0.3087656834716482,0.2941406309833327,0.2423614542009848,0.28955391248052603
Sierra Leone,0.32338881394109825,0.2342992517428679,0.27080328355080724,0.3130458364905516,0.28538429643133123
Bangladesh,0.29464695331966745,0.2604194448713606,0.3489906484769833,0.2211674648307445,0.28130612787468895
Honduras,0.2433674280915834,0.33769322957289943,0.34883383673152757,0.18841770047039696,0.27957804871660186
Mozambique,0.23907398079186748,0.30518537021553405,0.32724571960308074,0.23043784193368855,0.2754857281360427
Nigeria,0.2835542150046795,0.336430621397632,0.26193468321399666,0.2183105164238689,0.2750575090100442
Tajikistan,0.2417277642775542,0.30631415665733125,0.35304255437753845,0.19460627717105217,0.273922688120869
Belarus,0.23063980508195947,0.1927051678296584,0.3304455147012022,0.341572767330664,0.273840813735871
Liberia,0.3164263467552536,0.2863941545553439,0.20809850688356848,0.23375239838681905,0.26116785164524625
Cameroon,0.225169416825117,0.31354484941695643,0.30815623660435326,0.19310611502303138,0.2599941544673645
Guinea,0.25019849315311893,0.27441918500236767,0.288532533585945,0.20455610434106808,0.25442657902062493
Mali,0.26287522563890625,0.3054786406524127,0.19892430107262196,0.24903799143981606,0.25407903970093926
Bolivia,0.22185703756442263,0.1873874755862919,0.3509125918034846,0.24519537974873468,0.25133812117573345
Lebanon,0.26500385014848754,0.25830579573841245,0.23419032382142005,0.1747592858980025,0.23306481390158063
Burundi,0.21355137757998224,0.29310419750811306,0.26204742955633237,0.13837441427847394,0.2267693547307254
"Iran, Islamic Rep.",0.22964577190715804,0.12573803213905171,0.32941754655604166,0.21080917721494266,0.22390263195429852
Zimbabwe,0.23529081095291837,0.20570946334653434,0.2661927666887832,0.18681761176116093,0.2235026631873492
Iraq,0.20045997368030125,0.2411091870887582,0.24053178901089697,0.1975337417003397,0.219908672870074
Comoros,0.2542372985615963,0.1887843854008335,0.21656470159973584,0.21229247431446222,0.21796971496915696
"Congo, Rep.",0.24295181031741378,0.21207095071379387,0.23856584765956784,0.14731691094257193,0.21022637990833684
Chad,0.17999734593260627,0.22735854206536338,0.24084264999182703,0.15482022616535532,0.20075469103878799
Nicaragua,0.13858223069940215,0.2505900381873046,0.25151622493982334,0.14522059000924634,0.1964772709589441
Guinea-Bissau,0.22963940763430263,0.2027713120468714,0.18085045599157645,0.1651354320836914,0.19459915193911048
Turkmenistan,0.1874443732387201,0.08321619432537779,0.25013236465509076,0.1763473117319481,0.17428506098778418
Equatorial Guinea,0.15735416215518985,0.15268589481256617,0.22242342378479768,0.13593709309336743,0.16710014346148028
Central African Republic,0.1160834141820747,0.18411749341839184,0.13392466469080574,0.17341826179619385,0.15188595852186654
Myanmar,0.09318043084991605,0.14772556442621443,0.13802182634431034,0.18657589471724642,0.14137592908442181
"Congo, Dem. Rep.",0.13694881286319388,0.18008921208945106,0.10767073558184276,0.12623086707350187,0.13773490690199738
"Korea, Dem. People's Rep.",0.1608300251535464,0.03868155958348499,0.20247978617543883,0.1165706408180771,0.12964050293263682
Libya,0.12005455483082501,0.07108784687741491,0.16919989580620892,0.12249571836857903,0.12070950397075697
Haiti,0.14244002104610623,0.13724084636667516,0.035297039222655716,0.1204843890080139,0.10886557391086275
Afghanistan,0.06387006795174355,0.11923974762233668,0.05364419311642705,0.17370604753526506,0.10261501405644308
Sudan,0.10223941727298201,0.08941976868780195,0.08510096165442997,0.11655933618066207,0.098329870948969
Eritrea,0.09530330622082125,0.0,0.16095932853129746,0.09916487680403745,0.08885687788903905
"Yemen, Rep.",0.07189025835895788,0.10827560366451273,0.0673890053809652,0.09853473517577173,0.08652240064505189
"Venezuela, RB",0.0002781116260810457,0.0317437533360952,0.1586974841799139,0.10973333417275628,0.0751131708287116
Syrian Arab Republic,0.09271813385513751,0.009091719477300987,0.11234164585313787,0.08342776458469406,0.07439481594256761
Federal Republic of Somalia,0.0,0.07384776116143925,0.05003817429443589,0.06401538147567885,0.046975329232888496
South Sudan,0.05510636959376616,0.025398198841531383,0.0,0.0,0.020126142108824387
