country,AI_INDEX_2026_v1,LEGAL_WGI_2026_v1,PQC_NCSI_2026,RES_INDEX_2026,SCI_2026_v1,SCI_PLUS_2026_v1,SCI_ULTRA_2026_v1
"Congo, Republic of",0.0,0.0,0.0,-0.00028452300331222036,0.0,0.0,0.0
Cook Islands,0.0,0.128047890904117,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.12168923579793367,0.14113646614717384,-0.1460280373831776,-0.11350749508896171,0.15243355463685976,0.13042159609804344,0.0
Croatia,0.12251459503814333,0.10249829814578743,0.21686491079014436,0.0,0.11379538663547334,0.09178342809665702,0.0
"Croatia, Republic of",0.0,0.0,0.0,0.022464523726391572,0.0,0.0,0.0
Cuba,-0.13541399132301968,-0.13659649056677808,0.0,0.0,-0.12529940207709217,0.0,0.0
Cyprus,0.2778729736081127,0.1791749271216701,0.25223024638912483,0.10577151777939608,0.19047201561135602,0.1684600570725397,0.0
Czech Republic,0.0,0.0,0.384983007646559,-0.008963909669789716,0.0,0.0,0.0
Czechia,0.34070954849715884,0.2783918683384294,0.0,0.0,0.2896889568281153,0.0,0.0
Côte D'Ivoire,0.04081902683554722,0.0,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,0.0,0.0,0.0,-0.0009019327413231082,0.0,0.0,0.0
Côte d’Ivoire,0.0,-0.06368298644068832,0.0,0.0,0.0,0.0,0.0
"Democratic People's Republic
of Korea",-0.3198847094922269,0.0,0.0,0.0,0.0,0.0,0.0
"Democratic Republic of the
Congo",-0.19381848015718808,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.49950982423512713,0.4878032757655824,0.28770178419711145,0.36355333894306907,0.4991003642552683,0.477088405716452,0.0
Djibouti,-0.24687152965661258,-0.17514503043631258,0.0,-0.08077621796226803,-0.16384794194662666,0.0,0.0
Dominica,-0.3101366019061117,0.08071008391973772,0.0,-0.041818631831854525,0.09200717240942363,0.0,0.0
Dominican Republic,0.08347812053990733,0.005226956384025094,0.1637638062871708,-0.06238447005868292,0.016524044873711008,-0.005487913665105315,0.0
Ecuador,0.2086215128767025,-0.13811644042339627,-0.2256796941376381,-0.1594933665921914,-0.12681935193371036,-0.14883131047252668,0.0
Egypt,0.29344385103633497,0.0,0.031011045029736617,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",0.0,-0.11273870727942509,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Republic of",0.0,0.0,0.0,-0.20898857136437182,0.0,0.0,0.0
El Salvador,-0.014307183470426588,-0.0815425581449577,0.0,-0.013169698154355591,-0.07024546965527179,0.0,0.0
Equatorial Guinea,-0.3573326747667875,-0.31141998176438457,0.0,0.0,-0.30012289327469865,0.0,0.0
"Equatorial Guinea, Republic of",0.0,0.0,0.0,-0.18001311132923423,0.0,0.0,0.0
Eritrea,-0.4134003350806227,-0.3896632473368258,0.0,0.0,-0.37836615884713987,0.0,0.0
Estonia,0.43781600850876645,0.3551083373573313,0.36735344095157185,0.0,0.36640542584701724,0.3443934673082009,0.0
"Estonia, Republic of",0.0,0.0,0.0,0.06963387211198757,0.0,0.0,0.0
Eswatini,-0.17139559317588007,-0.1634643893895057,-0.3849830076465592,0.0,-0.15216730089981978,-0.1741792594386361,0.0
"Eswatini, Kingdom of",0.0,0.0,0.0,-0.13876320595482192,0.0,0.0,0.0
Ethiopia,0.04422671720690452,-0.15881993582961568,-0.022090059473237056,0.0,-0.14752284733992976,-0.1695348058787461,0.0
"Ethiopia, The Federal Democratic Republic of",0.0,0.0,0.0,-0.0338172692392642,0.0,0.0,0.0
Federal Republic of Somalia,0.0,-0.4315447959929764,0.0,0.0,0.0,0.0,0.0
Fiji,-0.0534547554066398,0.10313366583329625,-0.28759558198810536,0.0,0.11443075432298216,0.09241879578416584,0.0
"Fiji, Republic of",0.0,0.0,0.0,-0.15351118116436582,0.0,0.0,0.0
Finland,0.4001519033925742,0.47991969010883523,0.3584324553950722,0.08414517325635579,0.49121677859852114,0.4692048200597048,0.0
France,0.5339994822199143,0.27866528434514254,0.28770178419711145,0.08776746023264881,0.28996237283482845,0.26795041429601213,0.0
French Guiana,0.0,0.27495557446125335,0.0,0.0,0.0,0.0,0.0
Gabon,-0.17681907912450118,-0.1827824219625639,0.0,0.002186387500228759,-0.17148533347287798,0.0,0.0
Gambia (Republic of The),-0.2254937747777397,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",0.0,-0.09780521821134858,0.0,0.02502685048538028,0.0,0.0,0.0
Georgia,0.012678412415786433,0.10994425027913884,0.02219626168224298,0.05559650654071341,0.12124133876882476,0.09922938023000843,0.0
Germany,0.48115515721871727,0.3893481180859198,0.3053313508920986,0.18622393828602024,0.4006452065756057,0.3786332480367894,0.0
Ghana,0.1043076542700817,0.0046624647460858926,0.013275276125743418,-0.018987339238279832,0.015959553235771806,-0.006052405303044517,0.0
Greece,0.3005705766672023,0.0890005334760377,0.2434154630416312,0.10439193552248266,0.10029762196572362,0.07828566342690729,0.0
Greenland,0.0,0.35908163656083986,0.0,0.0,0.0,0.0,0.0
Grenada,-0.3158348039325143,0.07825939182004599,0.0,0.009757665533624671,0.0895564803097319,0.0,0.0
Guam,0.0,0.23816803441462447,0.0,0.0,0.0,0.0,0.0
Guatemala,-0.1515538263188554,-0.1663791768897922,-0.45571367884451996,-0.061673499902586026,-0.1550820884001063,-0.1770940469389226,0.0
Guinea,-0.3251445768010435,-0.2240935462052399,-0.3849830076465592,-0.024809235584480227,-0.212796457715554,-0.23480841625437032,0.0
Guinea Bissau,-0.4073919991729322,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0.0,-0.28392097328675436,0.0,-0.023814290923061032,0.0,0.0,0.0
Guyana,-0.20535897743774778,-0.05742498421210357,0.0,0.11889149818345829,-0.046127895722417656,0.0,0.0
Haiti,-0.35110214398314227,-0.3696545513150021,-0.615016992353441,-0.10251426655704554,-0.35835746282531616,-0.3803694213641325,0.0
Honduras,-0.260321569103917,-0.198942076509263,-0.41153355989804596,-0.05313933948864191,-0.18764498801957707,-0.2096569465583934,0.0
"Hong Kong SAR, China",0.0,0.3557267334881962,0.0,0.0,0.0,0.0,0.0
Hungary,0.32464418212892954,0.07655085094817221,0.33188190314358545,-0.045309487112422,0.08784793943785812,0.0658359808990418,0.0
Iceland,0.29923241408180024,0.3881865498928691,0.17257858963466433,0.1457755721289582,0.399483638382555,0.3774716798437387,0.0
India,0.36705292919501653,0.0122990194617133,0.1460280373831775,0.18388062789164195,0.023596107951399214,0.0015841494125828914,0.0
Indonesia,0.27230297241800816,-0.011297088489685914,-0.1548428207306713,0.0193041120191923,0.0,-0.022011958538816323,0.0
Iran (Islamic Republic of),0.1274423810398927,0.0,0.0,0.0,0.0,0.0,0.0
"Iran, Islamic Rep.",0.0,-0.2546174932715663,0.0,0.0,0.0,0.0,0.0
"Iran, Islamic Republic of",0.0,0.0,0.0,0.2733233540882388,0.0,0.0,0.0
Iraq,-0.15598954539432697,-0.25861145235579075,-0.4026125743415464,-0.1714402651306314,-0.24731436386610486,-0.26932632240492116,0.0
Ireland,0.4125898065272209,0.3972163963682382,0.1637638062871708,0.36924805788024406,0.4085134848579241,0.3865015263191078,0.0
Israel,0.4196811143545819,0.2317782192899734,0.0,0.01809744724604556,0.2430753077796593,0.0,0.0
Italy,0.3796007187607757,0.16591571770356467,0.27878079864061167,0.07121761477801236,0.17721280619325058,0.15520084765443426,0.0
Jamaica,0.039590750681257614,0.019572823732398603,-0.1725785896346645,-0.0563386865917912,0.030869912222084517,0.008857953683268194,0.0
Japan,0.4163088417867308,0.37898059629836495,0.21686491079014436,0.14881899775240204,0.39027768478805086,0.36826572624923454,0.0
"Jersey, Channel Islands",0.0,0.30529596078272586,0.0,0.0,0.0,0.0,0.0
Jordan,0.2389781703239019,0.06893020327929639,0.33188190314358545,-0.010726776097041424,0.0802272917689823,0.05821533323016598,0.0
Kazakhstan,0.22977828388648547,-0.0007289588356828025,0.15494902293967716,0.0,0.010568129654003111,-0.011443828884813212,0.0
"Kazakhstan, Republic of",0.0,0.0,0.0,-0.028683957049570108,0.0,0.0,0.0
Kenya,0.20961170176358113,-0.09564200193829109,-0.11947748513169076,-0.13651725784499982,-0.08434491344860517,-0.1063568719874215,0.0
Kiribati,-0.2527345613296843,0.02816939193067941,0.0,0.08494455821100466,0.039466480420365324,0.0,0.0
"Korea, Dem. People's Rep.",0.0,-0.348879622293228,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",0.0,0.273810282152993,0.0,0.0,0.0,0.0,0.0
"Korea, Republic of",0.0,0.0,0.0,0.2048195725219354,0.0,0.0,0.0
Kosovo,0.0,-0.01373515951074289,0.0,0.0,0.0,0.0,0.0
Kuwait,0.03176686664647871,0.08344117889100783,-0.2610450297366186,0.21242414038824164,0.09473826738069374,0.07272630884187742,0.0
Kyrgyz Republic,0.0,-0.1869065059674141,0.0,-0.1406423489724328,0.0,0.0,0.0
Kyrgyzstan,-0.1133952322626563,0.0,-0.022090059473237056,0.0,0.0,0.0,0.0
Lao PDR,0.0,-0.1563975692079972,0.0,0.0,0.0,0.0,0.0
"Lao People's Democratic
Republic",-0.1480545639215708,0.0,0.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.0,0.0,0.0,-0.12106511884437793,0.0,0.0,0.0
Latvia,0.2705435785133409,0.23428388238440762,0.25223024638912483,0.0,0.24558097087409353,0.2235690123352772,0.0
"Latvia, Republic of",0.0,0.0,0.0,-0.0020250983667775,0.0,0.0,0.0
Lebanon,-0.09916009540610687,-0.2454553113242842,-0.4380841121495328,0.0,-0.23415822283459828,-0.25617018137341463,0.0
Lesotho,-0.14039672054032537,-0.092210070397867,0.0,0.0,-0.08091298190818108,0.0,0.0
"Lesotho, Kingdom of",0.0,0.0,0.0,0.004143540570633375,0.0,0.0,0.0
Liberia,-0.36299303697595475,-0.2173522735806186,-0.5177357689039933,-0.1941328281836428,-0.20605518509093268,-0.228067143629749,0.0
Libya,-0.15499935650744828,-0.3578106212551079,-0.4291631265930332,-0.0452355716103075,-0.34651353276542196,-0.3685254913042383,0.0
Liechtenstein,-0.016011634159537602,0.4048316108206022,0.0,0.0,0.4161286993102881,0.0,0.0
"Liechtenstein, Principality of",0.0,0.0,0.0,0.4857104321213307,0.0,0.0,0.0
Lithuania,0.3615940254428893,0.2978821473125656,0.34961767204757865,0.0,0.30917923580225154,0.2871672772634352,0.0
"Lithuania, Republic of",0.0,0.0,0.0,0.022727057785871585,0.0,0.0,0.0
Luxembourg,0.34878862319766935,0.45944764288263323,0.1637638062871708,0.3372399933131537,0.47074473137231915,0.4487327728335028,0.0
"Macao SAR, China",0.0,0.24289009258382682,0.0,0.0,0.0,0.0,0.0
Madagascar,-0.2875500962849993,-0.1889662127453388,-0.54428632115548,0.0,-0.1776691242556529,-0.19968108279446922,0.0
"Madagascar, Republic of",0.0,0.0,0.0,-0.014725781241541502,0.0,0.0,0.0
Malawi,-0.2162804179625961,-0.10712557074425672,0.0,-0.1360917701557957,-0.0958284822545708,0.0,0.0
Malaysia,0.28067628860835037,0.1558558281701155,0.11066270178419713,0.015954087835652664,0.16715291665980142,0.1451409581209851,0.0
Maldives,-0.2137151902297693,-0.028588904848372676,-0.3406966864910791,0.10068263578757769,-0.017291816358686762,-0.039303774897503085,0.0
Mali,-0.24940012857906868,-0.2244410855249256,-0.5353653355989805,-0.06563867307047022,-0.21314399703523967,-0.235155955574056,0.0
Malta,0.315045011798027,0.13740974727297778,-0.039825828377230255,0.09633385080602358,0.1487068357626637,0.12669487722384737,0.0
