country,PC1,PC2,PC3
"Lesotho, Kingdom of",-0.013788850271110209,0.003756214754574048,0.004305731750038297
Liberia,-0.7137673868327803,-0.1479403760227125,-0.18267804517626898
Libya,-0.7223803728101748,0.1439579204647373,-0.2253739134789213
Liechtenstein,0.35079314497223174,-0.36599682007857454,-0.05623252157198032
"Liechtenstein, Principality of",0.05490711286521674,-0.0680750307532451,-0.03902504895982536
Lithuania,0.6935828880802215,0.042405719618995086,0.08279742957067908
"Lithuania, Republic of",-0.011137894327169648,0.0009842692348392694,0.00263361034094701
Luxembourg,0.8641732058176829,-0.2451049491486859,-0.07835600768334833
"Macao SAR, China",0.1008770267945107,-0.12429073393587745,-0.018070890747820093
Madagascar,-0.6204763879845805,-0.16485714228096285,-0.25442240586846976
"Madagascar, Republic of",-0.01648057650553343,0.006570791320026512,0.0060035694958068325
Malawi,-0.24243194774870977,-0.029245023431905985,0.1333006533401185
Malaysia,0.37931547483865014,0.0587894888499606,-0.05111770960990432
Maldives,-0.2843263925083798,-0.23387890152401966,-0.1535428894335796
Mali,-0.6504215964777127,-0.08960703310763109,-0.2589972803438363
Malta,0.3263932768603424,0.041037065715275545,-0.18221825123531504
Marshall Islands,-0.16617713193674907,-0.25249354788532075,0.15588172812219223
"Marshall Islands, Republic of the",-0.0014394080203740407,-0.009156855791316181,-0.0034838231178925564
Martinique,0.07334793986181869,-0.09355913895110382,-0.012637191238113788
Mauritania,-0.5044774115239535,-0.06369927887147388,-0.24871669013708977
"Mauritania, Islamic Republic of",-0.0010238556323385172,-0.00959137398195722,-0.0037459376378344957
Mauritius,0.2722302537252136,-0.08889203444641326,-0.13014293522478318
Mexico,-0.2473977941234411,0.13443306000228267,-0.20744259594855116
"Micronesia (Federated States
of)",-0.1660913639525524,-0.1841540544630713,0.13465111569802443
"Micronesia, Fed. Sts.",0.012630125902392392,-0.025777912805676602,-0.0006526907442025338
"Micronesia, Federated States of",-0.0020674750754764784,-0.008500123768491116,-0.0030876624907866202
