,pqc_norm,ai_norm,legal_norm,res_norm,pc1,pc2,reproducible,audit_ready,pqc_score,ai_index,legal_wgi_score,res_index,qvp_global_score,rank,explained_variance_ratio,predicted_qvp_score,residual,imf_res,ndgain_res,global_resilience,oecd_ai,oxford_ai,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,sci_score,qssi_global_score,manifest_version,consistency_checks,spearman_rho,spearman_p,kendall_tau,kendall_p,countries,cronbach_alpha,random_seed,importance,schema_version,statistics,ai_missing,legal_missing,pqc_missing,res_missing,null_counts,duplicate_iso3,row_count,pqc,sci_plus_score,sci_ultra_score,sci_adjusted_score,confidence_score,rank_raw,rank_adjusted,rank_gap,risk_flag
legal_wgi_score,0.20572479968282098,0.25904045221867383,0.31008261238622975,0.20534260451360334,-0.0025083760762851974,-0.0013963361832094875,,,0.4511199664733846,0.5844682170299753,1.0,0.39804042367212655,0.5665165163012561,-0.7904571639627267,-1.1592999011348088e-18,0.32704035476150345,0.0012124342422953206,-0.0012119063625646571,-0.0007868315977609312,-0.0012119063625646571,0.2409512137441316,0.23965174566491498,0.569422799442874,0.5676481705986359,0.5701567931547611,0.5605950030817054,0.30515846899358995,0.37510641868084466,,,0.00118339822317211,-0.0017071509482588284,0.0012515600745507313,-0.0017071509482588267,,,,-0.0010212143418521671,,-0.0006611394577636265,,,,,-0.0019304802823318587,,,0.13707199531281491,0.24289867631426426,-0.004872089065431328,-0.004783182981708599,0.0008106080010702787,-7.970448006978718e-17,-5.362110325236266e-17,-0.0044946029815512495,
res_index,0.15194539474176985,0.23924672051002022,0.22663464544959222,0.3404617230977374,-0.0019811649478983827,-0.0011028538853526742,,,0.25212564096592477,0.3862951341645751,0.39804042367212655,1.0,0.46332137367659626,-0.40716108237346754,3.4914276787173835e-18,0.26746755311671855,0.050854864212469375,0.3349119553270272,0.18390743015452843,0.3349119553270272,-0.001567549015873162,-0.0031487638463922373,-0.002623047926674163,-0.002642879719339175,-0.00035287821087321076,-0.006448822387838637,-0.0008913043338936297,0.3313358183415322,,,0.0009346712804849154,-0.001348341523202246,0.0009885068564204544,-0.001348341523202243,,,,-0.0008065752490212946,,-0.0005221809966128737,,,,,-0.0015247314404425632,,,0.0022003632373742378,0.0014108614578401254,-0.0038480721334932712,-0.0037778523532969073,0.0006402342030724129,3.467831520659309e-16,2.894621914123252e-16,-0.0035499261717397827,
qvp_global_score,-0.002488046000406987,-0.0024036897905425577,-0.001431529424827516,-0.0009532269513641703,-0.0005482523149279156,-0.00030519528235814253,,,0.6679248105394078,0.579670469656419,0.5665165163012561,0.46332137367659626,1.0,-0.6160028140895752,4.43304919826132e-18,0.5772830012040685,0.04168920009842889,-0.00026488470968644807,-0.00017197670198244527,-0.00026488470968644807,-0.00043379143045462187,-0.0008713646331050573,-0.0007258820622137167,-0.0007313701596330549,-9.765279574702445e-05,-0.0017845973937919888,-0.0002466526903177141,-6.809158768197819e-05,,,0.0002586537248077484,-0.00037312963879826373,0.0002735517670657538,-0.0003731296387982667,,,,-0.00022320541654472924,,-0.00014450434352176637,,,,,-0.0004219424247096584,,,0.0006089115597631425,0.0003904309235452742,-0.0010648858175263964,-0.0010454537368774634,0.00017717347780801666,1.0709981914015077e-16,8.217600505730674e-17,-0.0009823792024708639,
rank,-0.17586370874023402,-0.2384119475666162,-0.20581187861342815,-0.14902247331821722,-0.0012829996183311675,-0.0007142066164069461,,,-0.6046407887774488,-0.8173229911105162,-0.7904571639627267,-0.40716108237346754,-0.6160028140895752,1.0,-3.1158703320305707e-19,-0.3556079532674242,-0.04490754309324544,-0.0006198733177708128,-0.00040245346348302896,-0.0006198733177708128,-0.47087792679714596,-0.47312231647043096,-0.4523208735434247,-0.4771545996470137,-0.47465695610366887,-0.44985667447301647,-0.2754400071695475,-0.40122331032386915,,,0.000605291799351749,-0.0008731840634892763,0.0006401556421911673,-0.0008731840634892761,,,,-0.0005223369905402149,,-0.00033816367489534387,,,,,-0.0009874139244287767,,,-0.08262574090423756,-0.1325959430853469,-0.002492006071387056,-0.0024465318410425672,0.00041461476443738687,5.0340428451973316e-17,4.4387431471864787e-17,-0.0022989271682183894,
explained_variance_ratio,-1.3920778287708704e-18,-1.4707431286839145e-18,-1.550803829667993e-18,-3.304867467881028e-18,4.855883988316103e-19,1.1188356764256009e-19,,,1.0592229795386865e-18,1.4189148068147913e-19,-1.1592999011348088e-18,3.4914276787173835e-18,4.43304919826132e-18,-3.1158703320305707e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
predicted_qvp_score,-0.0014363066622523249,-0.0013876092562515009,-0.0008263976026776922,-0.0005502817153124701,-0.0003164967417799309,-0.0001761840485537365,,,0.38558163920918465,0.3346339084337066,0.32704035476150345,0.26746755311671855,0.5772830012040685,-0.3556079532674242,0.0,1.0,0.07141652293818589,-0.00015291344018135812,-9.927922665774124e-05,-0.00015291344018135812,-0.00025042041887039264,-0.0005030239905436677,-0.00041903937539636976,-0.00042220756074533885,-5.6373299005092906e-05,-0.0010302177394324965,-0.0001423884053221878,-3.9308116093733656e-05,,,0.00014931639852725002,-0.00021540139772438808,0.00015791678507964308,-0.00021540139772438825,,,,-0.00012885269274833937,,-8.341990111553707e-05,,,,,-0.00024358018927246505,,,0.0003515142926889207,0.00022538913530763157,-0.0006147404806830303,-0.0006035226708463673,0.00010227923700311334,-8.169894709737236e-17,-7.529947944224057e-17,-0.0005671108143245748,
residual,0.004825772095152591,0.00466215621202609,0.002776570349017141,0.0018488629315883635,0.0010633809511762877,0.0005919516266724049,,,-0.0981498703755693,0.13627578376052377,0.0012124342422953206,0.050854864212469375,0.04168920009842889,-0.04490754309324544,0.0,0.07141652293818589,1.0,0.0005137659192114682,0.00033356311310442306,0.0005137659192114682,0.0008413745484862967,0.0016900841585947746,0.0014079086156896549,0.0014185532369612598,0.00018940571703827204,0.0034613750319079173,0.00047840340167996595,0.0001320692960246951,,,-0.0005016804059316577,0.0007237159596298222,-0.0005305763976601616,0.0007237159596298254,,,,0.00043292546459050313,,0.00028027818958406683,,,,,0.0008183924166163252,,,-0.0011810346002610278,-0.0007572732399729826,0.002065434586781395,0.002027744450613962,-0.0003436426919227278,1.2816203558111724e-16,7.371243249741156e-17,0.0019054061465776527,
imf_res,-0.0018851637803226338,-0.0018212480522952388,-0.0010846533471285083,-0.0007222490753168658,-0.0004154044605328887,-0.00023124294813389357,,,-3.4226600308141915e-05,-0.0013049753011177688,-0.0012119063625646571,0.3349119553270272,-0.00026488470968644807,-0.0006198733177708128,0.0,-0.00015291344018135812,0.0005137659192114682,1.0,0.09873685918929422,1.0,-0.0003286787675046326,-0.0006602229402174344,-0.0005499924729076758,-0.00055415074107298,-7.39903979105213e-05,-0.0013521688781822304,-0.00018688590083519759,-5.1592211246374793e-05,,,0.00019597894635549383,-0.0002827160270800472,0.0002072670212850549,-0.0002827160270800478,,,,-0.00016912017172235252,,-0.00010948927570551844,,,,,-0.00031970091240859645,,,0.0004613652712600481,0.0002958250111392162,-0.0008068517113641263,-0.0007921282478069012,0.00013424230224952174,2.6304337904531073e-16,2.317725699996658e-16,-0.0007443374000070633,
ndgain_res,-0.001223944749471004,-0.0011824473896422858,-0.0007042124313392391,-0.00046892104164699376,-0.00026970182308995384,-0.00015013474965675316,,,-2.222165955884538e-05,-0.0008472567130048994,-0.0007868315977609312,0.18390743015452843,-0.00017197670198244527,-0.00040245346348302896,0.0,-9.927922665774124e-05,0.00033356311310442306,0.09873685918929422,1.0,0.09873685918929422,-0.00021339506728714606,-0.0004286505021969414,-0.0003570832446980396,-0.00035978300508007516,-4.80383508214685e-05,-0.0008778971971158618,-0.00012133588575501566,-3.34963024041692e-05,,,0.00012723955600172322,-0.00018355370527906075,0.00013456835161401422,-0.00018355370527906102,,,,-0.00010980146572402482,,-7.108603799945204e-05,,,,,-0.00020756618455517202,,,0.00029954193223987363,0.000192064728234759,-0.0005238494002655726,-0.0005142901746413558,8.71569689114923e-05,1.459789839493658e-16,1.861338959823704e-16,-0.0004832619118197092,
global_resilience,-0.0018851637803226338,-0.0018212480522952388,-0.0010846533471285083,-0.0007222490753168658,-0.0004154044605328887,-0.00023124294813389357,,,-3.4226600308141915e-05,-0.0013049753011177688,-0.0012119063625646571,0.3349119553270272,-0.00026488470968644807,-0.0006198733177708128,0.0,-0.00015291344018135812,0.0005137659192114682,1.0,0.09873685918929422,1.0,-0.0003286787675046326,-0.0006602229402174344,-0.0005499924729076758,-0.00055415074107298,-7.39903979105213e-05,-0.0013521688781822304,-0.00018688590083519759,-5.1592211246374793e-05,,,0.00019597894635549383,-0.0002827160270800472,0.0002072670212850549,-0.0002827160270800478,,,,-0.00016912017172235252,,-0.00010948927570551844,,,,,-0.00031970091240859645,,,0.0004613652712600481,0.0002958250111392162,-0.0008068517113641263,-0.0007921282478069012,0.00013424230224952174,2.6304337904531073e-16,2.317725699996658e-16,-0.0007443374000070633,
