,count,mean,std,min,25%,50%,75%,max
schema_version,2512.0,1.0999999999999996,5.130251624226082e-14,1.1,1.1,1.1,1.1,1.1
statistics,2512.0,0.35566602665243374,0.014883789030207989,0.0,0.355551019502356,0.355551019502356,0.355551019502356,1.0
ai_missing,2512.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0
legal_missing,2512.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
pqc_missing,2512.0,78.0,0.0,78.0,78.0,78.0,78.0,78.0
res_missing,2512.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0
null_counts,2512.0,17.035429936305732,1.5703148676681231,1.0,17.0,17.0,17.0,78.0
duplicate_iso3,2512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_count,2512.0,201.0,0.0,201.0,201.0,201.0,201.0,201.0
pqc,2512.0,0.6122014077542495,0.08647367721528176,0.0,0.615016992353441,0.615016992353441,0.615016992353441,1.0
sci_plus_score,2512.0,0.5751843524130652,0.04868035174659419,0.0570545883361143,0.5762006674480856,0.5762006674480856,0.5762006674480856,0.9273174456192498
sci_ultra_score,2512.0,0.43320752795912326,0.046441142040386914,0.1087911536929919,0.4305630718167485,0.4305630718167485,0.4305630718167485,0.8753998576137579
sci_adjusted_score,2512.0,0.33890465913287854,0.05620820768069931,0.0990423270071054,0.335762450690333,0.335762450690333,0.335762450690333,0.8753998576137579
confidence_score,2512.0,0.7993829617834394,0.06513027593825359,0.3,0.8,0.8,0.8,1.0
rank_raw,2512.0,98.0,15.686722971310926,1.0,98.0,98.0,98.0,195.0
rank_adjusted,2512.0,98.0,15.686722971310926,1.0,98.0,98.0,98.0,195.0
rank_gap,2512.0,-6.456608280254777,10.344355132888285,-59.0,-7.0,-7.0,-7.0,126.0
