country,QSSI_SCORE,QSSI_RANK,SCI_SCORE,SCI_PLUS_SCORE,SCI_ULTRA_SCORE,SCI_ADJUSTED_SCORE,SCI_GAP,SCI_PLUS_GAP,SCI_ULTRA_GAP
indonesia,0.5356212374360702,67,0.5764631721174048,0.5377001719525264,0.5078914832882795,0.5078914832882795,-0.04084193468133468,-0.0020789345164562434,0.027729754147790664
peru,0.5297610053596593,70,0.543051126805694,0.5891652088645153,0.5084650684195643,0.5084650684195643,-0.013290121446034697,-0.05940420350485598,0.021295936940095017
albania,0.5268729739460356,71,0.4669865330615307,0.6299309823921958,0.5145204917311818,0.5145204917311818,0.0598864408845049,-0.1030580084461602,0.012352482214853855
azerbaijan,0.5265615817773337,72,0.5073613193485497,0.5919225561445726,0.5232883371428902,0.3924662528571677,0.019200262428784032,-0.06536097436723887,0.0032732446344434507
bhutan,0.5258195863798749,73,0.5196571418735546,0.5145915921751197,0.5045700069781947,0.5045700069781947,0.006162444506320308,0.011227994204755176,0.021249579401680263
georgia,0.5228392854678167,75,0.5072715615007064,0.5505854590123657,0.5047953650927823,0.5047953650927823,0.015567723967110259,-0.027746173544549002,0.018043920375034328
kuwait,0.5128044998515102,78,0.503564252921987,0.4537001561535987,0.486454783693067,0.486454783693067,0.009240246929523188,0.05910434369791151,0.026349716158443226
dominican republic,0.5126702993314083,79,0.4903127686152099,0.5864687786236772,0.4986742188273766,0.4986742188273766,0.022357530716198393,-0.0737984792922689,0.013996080504031672
benin,0.5093724820179744,81,0.4512068670275831,0.4955086278626255,0.4860721450757593,0.4860721450757593,0.058165614990391246,0.013863854155348854,0.02330033694221506
montenegro,0.5080848342078924,82,0.4689965676954483,0.575196239126334,0.4958267521866436,0.4958267521866436,0.039088266512444125,-0.06711140491844159,0.012258082021248784
ghana,0.501533000257028,83,0.5004452896613275,0.5430609492672799,0.4855335327097594,0.4855335327097594,0.001087710595700453,-0.04152794901025192,0.015999467547268553
bangladesh,0.4984397901854976,85,0.4162763185737008,0.4987721478115241,0.4752563756445566,0.4752563756445566,0.08216347161179682,-0.00033235762602651375,0.023183414540941027
south africa,0.4819459755063374,88,0.5198094253979525,0.5146931145247183,0.4779627687293762,0.3584720765470321,-0.03786344989161511,-0.032747139018380944,0.003983206776961179
uzbekistan,0.4792116715304738,89,0.5028843777470243,0.5151981946237596,0.479657942259683,0.3597434566947622,-0.023672706216550543,-0.035986523093285816,-0.0004462707292092194
costa rica,0.4777087825916891,90,0.5773730811257975,0.5412450390739528,0.4693758058539323,0.4693758058539323,-0.09966429853410846,-0.06353625648226374,0.008332976737756792
north macedonia,0.4600058248788774,91,0.4272741591725231,0.568055330130875,0.4910628088536191,0.3682971066402143,0.03273166570635433,-0.10804950525199752,-0.03105698397474166
ethiopia,0.4590409868498292,92,0.3886636208418881,0.4567513915213267,0.424327981208006,0.3182459859060045,0.07037736600794109,0.0022895953285024806,0.03471300564182317
morocco,0.4531584835291079,93,0.4419928292636981,0.5601674086906671,0.4520517027902645,0.4520517027902645,0.01116565426540983,-0.10700892516155913,0.0011067807388434048
kenya,0.4447328292632279,94,0.5029450800658888,0.5004765557845093,0.4361155983835482,0.4361155983835482,-0.0582122508026609,-0.055743726521281456,0.008617230879679694
tunisia,0.4386877272480286,95,0.4182740891285407,0.5443549152672288,0.4394947643882104,0.4394947643882104,0.02041363811948793,-0.10566718801920016,-0.0008070371401817655
nigeria,0.436667442656433,96,0.4293077365286702,0.4779355456778504,0.4267166944836893,0.4267166944836893,0.007359706127762766,-0.041268103021417424,0.009950748172743662
mongolia,0.4345139039153107,97,0.430298661039745,0.4491073486512489,0.4262874635432367,0.4262874635432367,0.0042152428755656834,-0.01459344473593821,0.008226440372073984
panama,0.4320087286195333,98,0.4165872987112456,0.4694552537995673,0.4275234172940045,0.4275234172940045,0.01542142990828771,-0.037446525180033996,0.004485311325528818
botswana,0.4311540002765598,100,0.474723456972489,0.475785618157247,0.4298524979037495,0.4298524979037495,-0.04356945669592921,-0.0446316178806872,0.0013015023728102926
jamaica,0.4275380545155728,102,0.4755420173600718,0.4645074791463067,0.4233374413892309,0.4233374413892309,-0.04800396284449898,-0.03696942463073388,0.004200613126341901
senegal,0.4228240747246272,103,0.4627723843161325,0.4265055770830292,0.4158142490549771,0.4158142490549771,-0.039948309591505304,-0.0036815023584020334,0.007009825669650083
ecuador,0.401574987964204,107,0.4812127663798968,0.4505876103251989,0.398215463108221,0.398215463108221,-0.0796377784156928,-0.049012622360994906,0.0033595248559830093
fiji,0.3982458980948024,108,0.4707996853665719,0.4230069270328265,0.407410835336697,0.3055581265025228,-0.07255378727176953,-0.02476102893802412,-0.0091649372418946
armenia,0.3966389537688679,109,0.4335635304949754,0.4099712689847556,0.3971811020647259,0.2978858265485444,-0.03692457672610755,-0.013332315215887736,-0.0005421482958580248
mexico,0.369013909882366,111,0.4237616605847893,0.4034366890446315,0.3706893961843112,0.3706893961843112,-0.054747750702423326,-0.03442277916226549,-0.0016754863019451949
algeria,0.3596490744106058,113,0.4042731710309977,0.3845678404437747,0.3625540786452853,0.3625540786452853,-0.044624096620391906,-0.024918766033168893,-0.0029050042346795424
antigua and barbuda,0.3523367395260399,115,0.4060708242052703,0.3208413254543207,0.3570079650440067,0.3570079650440067,-0.05373408467923041,0.031495414071719186,-0.004671225517966837
pakistan,0.3464104067322657,117,0.3968747245754492,0.4209128013737206,0.35494582336168,0.35494582336168,-0.050464317843183504,-0.07450239464145492,-0.008535416629414316
maldives,0.3354275332259167,120,0.3248081826141727,0.3079788903635691,0.3409369381942894,0.3409369381942894,0.01061935061174396,0.02744864286234755,-0.005509404968372711
uganda,0.3325531748568273,122,0.3413961013404745,0.3219757639636014,0.3367572589248029,0.3367572589248029,-0.008842926483647207,0.010577410893225891,-0.004204084067975622
bosnia and herzegovina,0.3237913671354498,126,0.3618213084433768,0.3651167828025231,0.335762450690333,0.335762450690333,-0.03802994130792697,-0.04132541566707326,-0.011971083554883188
burkina faso,0.3145070997369484,129,0.3165122519888746,0.2935980858628748,0.321300072124221,0.321300072124221,-0.002005152251926212,0.020909013874073623,-0.006792972387272611
cambodia,0.305678148850344,131,0.3152289075649377,0.2809540777139233,0.3123602360440335,0.3123602360440335,-0.00955075871459371,0.024724071136420722,-0.006682087193689512
nauru,0.2607095829585487,145,0.3137720718482021,0.2416084557152839,0.2709416435770702,0.2032062326828026,-0.053062488889653425,0.019101127243264793,-0.010232060618521499
angola,0.2567994400403608,149,0.2625906639007817,0.2724124675226395,0.2763215909122584,0.2763215909122584,-0.005791223860420858,-0.015613027482278663,-0.01952215087189757
eswatini,0.2567722496935739,150,0.2785302388705508,0.2623648208159945,0.2859015850685337,0.2144261888014002,-0.02175798917697691,-0.00559257112242062,-0.02912933537495982
guatemala,0.2411994185220088,154,0.2869937285489199,0.2444302568689202,0.2615453469639796,0.2615453469639796,-0.04579431002691112,-0.003230838346911402,-0.02034592844197078
mauritania,0.2338813801780091,156,0.2760268612779514,0.2371190120216079,0.2709992877935945,0.2032494658451959,-0.04214548109994229,-0.0032376318435987927,-0.037117907615585394
chad,0.2314032666700174,157,0.1536306424689937,0.1761601620991252,0.2474357679155728,0.2474357679155728,0.07777262420102371,0.05524310457089221,-0.016032501245555414
tajikistan,0.2270682946536962,158,0.289143915189918,0.2340398686935901,0.273086001444739,0.2048145010835542,-0.06207562053622179,-0.006971574039893874,-0.04601770679104278
mozambique,0.2264824613282356,159,0.2228307611028428,0.2399939426893491,0.2633176630240207,0.1974882472680155,0.0036517002253927955,-0.013511481361113492,-0.03683520169578511
lebanon,0.2259065755427814,160,0.2736525267880482,0.2414126445933348,0.2764542830151763,0.2073407122613822,-0.04774595124526679,-0.015506069050553406,-0.050547707472394926
myanmar,0.2192368568968872,164,0.1281267085801171,0.2181705669775122,0.2419188703121489,0.2419188703121489,0.09111014831677011,0.0010662899193750186,-0.022682013415261687
nicaragua,0.2062161957496984,166,0.1753829993423769,0.1758996262962206,0.2280528879177932,0.2280528879177932,0.030833196407321517,0.0303165694534778,-0.021836692168094807
honduras,0.2044166716582668,168,0.2163284073466537,0.2120467490495675,0.2317438631163742,0.2317438631163742,-0.01191173568838691,-0.007630077391300699,-0.027327191458107414
libya,0.1996118977697452,172,0.1895552412719656,0.1883214494347797,0.2220734193394398,0.2220734193394398,0.010056656497779592,0.011290448334965508,-0.02246152156969461
iraq,0.1894133156451551,175,0.2386597312781848,0.2299079601894214,0.2203350919684218,0.2203350919684218,-0.0492464156330297,-0.040494644544266295,-0.030921776323266703
guinea,0.1888239400153959,176,0.171341168650102,0.1909054406690286,0.2184017298095798,0.2184017298095798,0.017482771365293914,-0.0020815006536326897,-0.029577789794183906
zimbabwe,0.1886862772189231,177,0.2415110157418501,0.2111347864787072,0.2178282654054147,0.2178282654054147,-0.05282473852292702,-0.022448509259784116,-0.029141988186491607
madagascar,0.1749315466875816,180,0.2077020756380747,0.1620449408247034,0.2128191155950554,0.1596143366962916,-0.032770528950493094,0.012886605862878209,-0.0378875689074738
mali,0.1699173851732953,181,0.2090396231012466,0.1659103009856512,0.2007543544842691,0.2007543544842691,-0.0391222379279513,0.004007084187644089,-0.030836969310973794
burundi,0.1231834651812578,185,0.1588409563845293,0.1088322320388507,0.16057063878699,0.16057063878699,-0.035657491203271496,0.014351233142407105,-0.03738717360573218
liberia,0.0899798605505504,188,0.155787574874957,0.1362854577331206,0.1398510595119843,0.1398510595119843,-0.0658077143244066,-0.046305597182570185,-0.04987119896143388
haiti,0.0645093853426318,194,0.0855818825041715,0.0570545883361143,0.1087911536929919,0.1087911536929919,-0.021072497161539694,0.007454797006517501,-0.0442817683503601
