country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE
Gabon,0.2365812559561215,0.2957377032633009,0.615016992353441,0.356241865601403,True,True,False,True,False,False,True,False,3,0.75,B,0.2449277740513268,0.2503751364160514,0.622668266608487,0.359524762086062,0.32870184330043056,0.37072805777984114,0.35047617967961,0.3499686935866272
Gambia (Republic of The),0.187906560302883,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.1932227218861837,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3535228061128708,0.3948092482812736,0.3839190628845633,0.3774170390929026
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,True,True,True,True,False,False,False,False,4,1.0,A,0.4462228731528339,0.5814970503943908,0.6454674375477255,0.4527185261313548,0.5103205430319608,0.5276696484470622,0.530527664924427,0.5228392854678167
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476,0.87551976953059,0.8712362812975202,0.8942409352661295,0.8803323286980798
Ghana,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944,True,True,True,True,False,False,False,False,4,1.0,A,0.5435567068080145,0.4624060701779488,0.6363041343951129,0.3225793418346607,0.49136841327635217,0.49951198909567707,0.5137185983990549,0.5015330002570281
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704,0.6787473689791587,0.693248611911626,0.699032819740047,0.6903429335436105
Grenada,0.0975655311481084,0.5567795170459108,0.615016992353441,0.3638131436347989,True,True,False,True,False,False,True,False,3,0.75,B,0.097257301611603,0.5456562747767704,0.622668266608487,0.3727356650243379,0.34319416977471806,0.3910224462514236,0.3790521242430026,0.37108958008971477
Guatemala,0.2618465087617673,0.3121409483360726,0.159303313508921,0.2923819781985882,True,True,True,True,False,False,False,False,4,1.0,A,0.2717659739979253,0.2689298989949366,0.1545761972291916,0.2480975010072056,0.24804082492818275,0.2352534255188894,0.24030400511895447,0.24119941852200888
Guinea,0.0882557582795792,0.2544265790206249,0.2300339847068818,0.329246242516694,True,True,True,True,False,False,False,False,4,1.0,A,0.0873679271562969,0.2036454741578163,0.2272281007963345,0.312420884146658,0.18449075584512792,0.20008965709417154,0.18189140710688834,0.18882394001539593
Guinea Bissau,0.0060083359076905,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.0,0.4443531958935565,0.622668266608487,0.3559270285438891,0.277087870560147,0.33682713471101033,0.31432639935043305,0.3094138015405301
