country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,QSSI_NO_RES,QSSI_NO_RES_RANK,ORIGINAL_TIER,LODO_TIER,TIER_CHANGED
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,4,1.0,A,0.8132411960131016,0.8152074887101552,0.972728264426748,0.5653191825994204,0.7852803261736071,0.7976082982609877,0.8179780917814555,0.80028890540535,19.0,15.0,17.0,0.8002889054053501,21,Gold,21,0.8565264228812574,19.0,Tier 1,Tier 1,False
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,4,1.0,A,0.8598634490713527,0.8579087485232602,0.8726955383440601,0.5302967526987307,0.791018155813936,0.7864016896252962,0.818150188462572,0.7985233446339347,16.0,17.0,16.0,0.7985233446339347,22,Gold,22,0.862720541920999,15.0,Tier 1,Tier 1,False
Lithuania,0.774994360523512,0.7764022725384304,0.9646346644010196,0.4707464799936863,True,True,True,False,False,False,False,True,3,0.75,B,0.8168610400829838,0.7940856597555122,0.9817824806370676,0.559320535012219,0.7383907545784856,0.7481106942711053,0.7876053375584458,0.7973146527600518,22.0,21.0,20.0,0.7973146527600518,23,Gold,23,0.8542760271710919,20.0,Tier 1,Tier 1,False
Spain,0.8851748838237983,0.6889226499688639,0.9027187765505524,0.4507107159205246,True,True,True,True,False,False,False,False,4,1.0,A,0.9339011084053224,0.695131847868428,0.9181847932802444,0.5243607127342336,0.7873890413154795,0.785129630380856,0.810606731613058,0.7943751344364643,18.0,18.0,18.0,0.7943751344364643,24,Gold,24,0.8590002298653253,17.0,Tier 1,Tier 1,False
Poland,0.8372766592295362,0.651838110314837,0.9380841121495328,0.4404477128866552,True,True,True,False,False,False,False,True,3,0.75,B,0.8830208683128651,0.6531831465245753,0.9545107450638158,0.506453097092906,0.726929013531198,0.7315129022701737,0.7668598740302393,0.7708366380716357,24.0,24.0,22.0,0.7708366380716357,25,Gold,25,0.834114041766808,24.0,Tier 1,Tier 1,False
Iceland,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324,True,True,True,True,False,False,False,False,4,1.0,A,0.7506169614040252,0.8962347614894698,0.799934547834624,0.610069356109576,0.7627529239092773,0.761200175568733,0.7827970780316882,0.768916725836566,20.0,20.0,21.0,0.768916725836566,26,Gold,26,0.8069351633796947,28.0,Tier 1,Tier 1,False
Czechia,0.7541098835777815,0.7569119935642942,0.9107676570051112,0.4577936282987154,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.9264523026464628,0.5367194806378637,0.6692246318674119,0.6435922176781093,0.68931223428074,0.767921617850964,33.0,38.0,35.0,0.767921617850964,27,Gold,27,0.8232574035714412,26.0,Tier 1,Tier 1,False
Israel,0.8330814494352046,0.7102983445158382,0.907648260705248,0.3721529253472198,True,True,False,True,False,False,True,False,3,0.75,B,0.8785644759646737,0.7193112669722883,0.923248175280966,0.3872875076912205,0.6965881491889034,0.6650440424211976,0.709447993019376,0.755298709263204,28.0,32.0,30.0,0.7552987092632039,28,Gold,28,0.8433782972739013,22.0,Tier 1,Tier 1,False
Saudi Arabia,0.8473691074935811,0.6354236916438878,0.7875955819881053,0.4748710573334173,True,True,True,True,False,False,False,False,4,1.0,A,0.8937416454428136,0.6346157447721356,0.799934547834624,0.5665173901080499,0.7479755081718896,0.739525405012418,0.7576338797629243,0.748378264315744,21.0,22.0,23.0,0.748378264315744,29,Gold,29,0.7919047407030281,33.0,Tier 1,Tier 1,False
Slovenia,0.7389614484756891,0.6988159302417848,0.9027187765505524,0.4363292326136916,True,True,True,False,False,False,False,True,3,0.75,B,0.7785848151967016,0.7063227717238013,0.9181847932802444,0.4992668805916316,0.692650020158545,0.7018153932381774,0.7351102518084566,0.7375401382142214,30.0,29.0,27.0,0.7375401382142214,30,Gold,30,0.7945683218013434,31.0,Tier 1,Tier 1,False
Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,True,True,True,True,False,False,False,False,4,1.0,A,0.8359887820201048,0.6448099671157248,0.9090214901276316,0.4799753437783877,0.7258302780451499,0.732592174577761,0.7536056535519511,0.7373427020582872,25.0,23.0,25.0,0.7373427020582872,31,Gold,31,0.7989408566466906,29.0,Tier 1,Tier 1,False
New Zealand,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374,True,True,True,True,False,False,False,False,4,1.0,A,0.7825937514890532,0.9531607264261198,0.6545216537580452,0.4538363487417613,0.7332289162861614,0.7086836606104098,0.7546360241628084,0.7321828670197931,23.0,27.0,24.0,0.7321828670197931,32,Gold,32,0.7988021616211983,30.0,Tier 1,Tier 1,False
Portugal,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301,True,True,True,True,False,False,False,False,4,1.0,A,0.8087653490537869,0.7093671329320342,0.8636413221337406,0.4555721482130873,0.7182050792099344,0.7204366534853075,0.7473596949645108,0.7286671425532509,26.0,25.0,26.0,0.7286671425532509,33,Gold,33,0.7940295404545016,32.0,Tier 1,Tier 1,False
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065,0.6953252904485538,0.710183117853415,0.7204298731060861,0.7086460938026848,29.0,26.0,28.0,0.7086460938026848,34,Gold,34,0.7489457422548312,37.0,Tier 1,Tier 1,False
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,True,True,True,True,False,False,False,False,4,1.0,A,0.8226598005986945,0.4710442670128139,0.7726628122613722,0.6765577601700221,0.7003333002464567,0.7025245355130829,0.6960745572902775,0.6996441310166055,27.0,28.0,32.0,0.6996441310166055,35,Gold,35,0.7051696096546016,43.0,Tier 1,Tier 2,True
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704,0.6787473689791587,0.693248611911626,0.699032819740047,0.6903429335436105,31.0,30.0,31.0,0.6903429335436105,36,Gold,36,0.7268380503851456,40.0,Tier 1,Tier 2,True
