country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK
Congo,0.1002223309068626,0.4874476470613434,0.2300339847068818,0.3927066496537002,True,False,True,False,False,True,False,True,2,0.5,C,0.1000795066254229,0.4672305498054852,0.2272281007963345,0.4231511037228678,0.255940529117328,0.2641584998983395,0.2575109281621436,0.2776508125428595,169.0,170.0,167.0,0.2776508125428596,140,Emerging,140
Bolivia (Plurinational State of),0.225132330701489,0.3431697195807738,0.2656699848292554,0.3297322811287891,True,False,False,False,False,True,True,True,1,0.25,D,0.2327660692973247,0.3040285322840074,0.263832069068645,0.3132689587914301,0.3691653412216035,0.4066753830616941,0.398161315785947,0.2720485327699667,121.0,116.0,119.0,0.2720485327699668,141,Emerging,141
Marshall Islands,0.07196940804226,0.5074425213986395,0.173441418736917,0.4184476940783732,True,True,False,False,False,False,True,True,2,0.5,C,0.0700676322638654,0.4898480346066486,0.1690983308418033,0.468065903829829,0.3156037908226937,0.3673354221255696,0.3518868948183333,0.2686068243932714,151.0,140.0,144.0,0.2686068243932715,144,Emerging,144
Belarus,0.2819800950948946,0.273840813735871,0.263514609144527,0.2848265978025346,True,True,False,False,False,False,True,True,2,0.5,C,0.2931530236272022,0.2256061602412118,0.2616181476715246,0.2349143373941733,0.3411316187153628,0.3792029909796325,0.3606530810707813,0.2589565294512873,136.0,131.0,142.0,0.2589565294512874,147,Emerging,147
Bahamas,0.2715555655237825,0.3518654476572236,0.186169890465428,0.2469938778634766,True,False,False,False,False,True,True,True,1,0.25,D,0.2820794906951979,0.3138648280409303,0.1821725415754849,0.1689011241953843,0.3886727166981326,0.4214733135127204,0.4159224378194129,0.2462316468976323,115.0,111.0,113.0,0.2462316468976323,153,Emerging,153
Lao People's Democratic Republic,0.2653457711590519,0.3164787532445576,0.2237744783437198,0.2329903592567963,True,False,False,True,False,True,True,False,2,0.5,C,0.2754830911234248,0.2738366683465733,0.2207985696612268,0.144466791670388,0.3409231304719848,0.3704816069374094,0.3851883981977031,0.2379738006218235,137.0,139.0,127.0,0.2379738006218235,155,Emerging,155
Democratic People's Republic of Korea,0.0935156255883958,0.3756392477499287,0.1382139479414622,0.3900576075720149,True,False,False,False,False,True,True,True,1,0.25,D,0.0929552597514828,0.3407568981380995,0.1329139886349741,0.4185288672039883,0.3138590598852639,0.3647210716934247,0.3478059200427413,0.223660918170814,153.0,142.0,147.0,0.2236609181708141,161,Emerging,161
Somalia,0.1498725340623882,0.4092081147622026,0.1480396265443826,0.2619649703562118,True,False,False,True,False,True,True,False,2,0.5,C,0.1528207987837767,0.378728796667423,0.1430065586933464,0.1950237482661273,0.303192788317676,0.3453913023171077,0.3477893763369726,0.2128188767084305,156.0,150.0,148.0,0.2128188767084305,165,Emerging,165
Saint Kitts and Nevis,0.1288733266580864,0.270789143654463,0.1336948165088665,0.3685538044750998,True,False,False,False,False,True,True,True,1,0.25,D,0.1305142368280299,0.2221542204830475,0.1282721056231577,0.3810075063103474,0.3287166188941011,0.3759917382753708,0.3613334660210757,0.2002970360143941,144.0,135.0,141.0,0.2002970360143942,170,Emerging,170
Saint Vincent and the Grenadines,0.1408203738733197,0.2776266006105538,0.1352428814608883,0.3470910296866161,True,False,False,False,False,True,True,True,1,0.25,D,0.1432050752851157,0.229888506589289,0.1298622201195292,0.3435577345193678,0.3337368536268918,0.3797999945173777,0.3659043013870644,0.1997224481824515,142.0,130.0,139.0,0.1997224481824515,171,Emerging,171
Micronesia (Federated States of),0.1304678909160848,0.2403265704358861,0.1425400485683005,0.3711514627730135,True,False,False,False,False,True,True,True,1,0.25,D,0.1322080743966885,0.1876960500963332,0.1373575976130815,0.3855400847586855,0.3293866662059979,0.3765000236432448,0.3619435323054465,0.1954994912807953,143.0,134.0,140.0,0.1954994912807953,173,Emerging,173
Timor-Leste,0.080396456441294,0.3399575702057176,0.1802890971667395,0.3064716357932532,True,True,False,False,False,False,True,True,2,0.5,C,0.0790193261824949,0.3003950641039205,0.1761320103547528,0.2726821349482174,0.2741765445930819,0.3305341170564367,0.303788963482173,0.190285356442934,163.0,157.0,161.0,0.1902853564429341,174,Emerging,174
Sao Tome and Principe,0.0850128975548908,0.307314460657779,0.1549025010990044,0.3352796848773534,True,False,False,False,False,True,True,True,1,0.25,D,0.0839231745865261,0.2634703492190629,0.1500558470980938,0.322948462325504,0.3102861527201489,0.3620107310942519,0.3445528509535548,0.1872638570498694,155.0,143.0,151.0,0.1872638570498694,178,Emerging,178
Comoros,0.131274935751109,0.2179697149691569,0.1513418258966382,0.3279031430585545,True,True,False,False,False,False,True,True,2,0.5,C,0.1330653636870379,0.1624067769460956,0.1463984545263167,0.3100773489469642,0.2628032950171425,0.3179914253723087,0.2858741521506924,0.1771397090732355,168.0,161.0,164.0,0.1771397090732355,179,Emerging,179
Equatorial Guinea,0.0560676603138352,0.1671001434614802,0.1734816119425073,0.3199982237480835,True,True,False,False,False,False,True,True,2,0.5,C,0.0531758842050268,0.1048649419233824,0.1691396158013144,0.2962842850434986,0.217542591940392,0.2820248609975339,0.2415126577423256,0.137526195769182,176.0,166.0,174.0,0.137526195769182,183,Emerging,183
Syrian Arab Republic,0.1358913768647058,0.0743948159425676,0.2167849913425859,0.2547180600740989,True,True,False,False,False,False,True,True,2,0.5,C,0.137969212091069,0.0,0.2136192296805703,0.1823788251874742,0.2261944596018895,0.2856126613699308,0.2436450207419952,0.129929194183687,175.0,165.0,173.0,0.129929194183687,184,Emerging,184
Central African Republic,0.0205523956386631,0.1518859585218665,0.1556691667598269,0.299901067077275,True,True,False,False,False,False,True,True,2,0.5,C,0.0154495340338684,0.0876552015254672,0.1508433374288786,0.2612173406066039,0.1985339382007155,0.267116957644443,0.2232627800072574,0.1094124959789819,183.0,169.0,179.0,0.1094124959789819,187,Emerging,187
Eritrea,0.0060083359076905,0.088856877889039,0.1476392240012422,0.2623912303472126,True,True,False,False,False,False,True,True,2,0.5,C,0.0,0.0163589658404441,0.1425952801566158,0.1957675169327571,0.1754996227970766,0.2476206604060915,0.1983844875892444,0.0725213387502083,190.0,178.0,183.0,0.0725213387502083,189,Emerging,189
South Sudan,0.0077494154071724,0.0743948159425676,0.1504576774956272,0.2620163595363543,True,True,False,False,False,False,True,True,2,0.5,C,0.0018494744576463,0.0,0.1454902903129514,0.1951134157526396,0.1723482904148469,0.2447659637891743,0.1946190314121439,0.0697633090928265,191.0,179.0,185.0,0.0697633090928265,190,Emerging,190
Yemen,0.0285386873063819,0.1486329132990291,0.0975772562809216,0.2042569130543395,True,False,False,False,False,True,True,True,1,0.25,D,0.0239330308846181,0.0839754734289629,0.0911734967973337,0.0943306366925247,0.286555285444845,0.3440089387001392,0.3229463139725149,0.0663988693704045,158.0,152.0,156.0,0.0663988693704045,191,Emerging,191
Afghanistan,0.0610516005380055,0.102615014056443,0.0659300868990581,0.2206450414449336,True,True,False,False,False,False,True,True,2,0.5,C,0.058470111232444,0.0319216760835472,0.0586667064733862,0.1229258055072455,0.202323144563048,0.2684100452160559,0.223659432815529,0.0646178943029949,182.0,168.0,178.0,0.0646178943029949,193,Emerging,193
Guinea Bissau,0.0060083359076905,0.088856877889039,0.1027535553080468,0.2094576642393406,True,False,False,False,False,True,True,True,1,0.25,D,0.0,0.0163589658404441,0.0964903978161415,0.1034052762458627,0.277087870560147,0.3368271347110103,0.314326399350433,0.0447237695139096,160.0,154.0,158.0,0.0447237695139096,195,Emerging,195
