country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Kosovo,0.5341223801405729,0.4348948388410322,0.4742423120133294,0.4158803318655533,0.4647849657151219,113
Serbia,0.4744510524839344,0.5071920003541704,0.5109058952996139,0.345547932788508,0.4595242202315567,114
Argentina,0.462313437788322,0.4319965197231087,0.5292775524323272,0.399571416380539,0.4557897315810742,115
Panama,0.4594631425913441,0.4706829023599247,0.5430674856932303,0.3470897061120544,0.4550758091891383,116
Maldives,0.5322800532734591,0.4319185830205246,0.4383090195771221,0.3972172256388625,0.4499312203774921,117
Morocco,0.434768793892929,0.4819884273114872,0.5276173513117183,0.3552298032887396,0.4499010939512184,118
Trinidad and Tobago,0.433886454889691,0.4388236836873658,0.5130046392649333,0.3963291222946245,0.4455109750341536,119
Vanuatu,0.6215247136899366,0.410466625610725,0.3045484434873333,0.439804804755815,0.4440861468859525,120
Philippines,0.3859923206175872,0.5074190197947946,0.5204675038314666,0.3419203849311756,0.438949807293756,121
Viet Nam,0.4475137352956019,0.4243707445102674,0.4672794842128843,0.4165763942351679,0.4389350895634804,122
Colombia,0.3893577433717459,0.4916051877337516,0.4630565946660738,0.4069213148065337,0.4377352101445263,123
Azerbaijan,0.4069534909586277,0.5207597052850466,0.5253180446298535,0.296320119943122,0.4373378402041625,124
Mongolia,0.4981828818047356,0.4714151426358033,0.4005924707992588,0.3627509256131421,0.433235355213235,125
Benin,0.4241989669483911,0.4218617729712012,0.4463642965483942,0.4191000626304484,0.4278812747746087,126
Belize,0.4278257270927404,0.3803941682326592,0.4590148179687843,0.4375510920210811,0.4261964513288163,127
Sri Lanka,0.4608073054092227,0.4165945428231346,0.4263528539176187,0.3860005667943003,0.4224388172360691,128
Tunisia,0.4355517650671972,0.3947819122062721,0.4342528688441563,0.423824298178469,0.4221027110740237,129
Guyana,0.4427138432942367,0.3810166540511427,0.4659446304060355,0.3947054363036298,0.4210951410137612,130
Peru,0.4021261545092612,0.5082632940806378,0.442997246069521,0.3088857758756372,0.4155681176337643,131
Côte d’Ivoire,0.3850043204895447,0.4483298258217876,0.4171004219093903,0.408913986919983,0.4148371387851765,132
Brazil,0.4162167255882404,0.4177162986449019,0.4376990214381105,0.3804586521168324,0.4130226744470213,133
Tanzania,0.3988971969068877,0.3599279853350384,0.4223260576606355,0.4068327388365442,0.3969959946847765,134
El Salvador,0.3530137706539877,0.4461018631263055,0.4468677471479554,0.3419268873953798,0.3969775670809071,135
