country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Niger,0.2980385429354549,0.3054377286826141,0.3151461729377065,0.3326613124656467,0.3128209392553556,164
Guatemala,0.2941230009529139,0.414144215773328,0.2837695845674603,0.2565269920505881,0.3121409483360726,165
West Bank and Gaza,0.2877059448530789,0.3761838586322276,0.2412716026596098,0.3432471403747836,0.312102136629925,166
Cambodia,0.2718865628220804,0.336892122814134,0.4220900988812373,0.191136121115128,0.3055012264081449,167
Djibouti,0.2827371748604788,0.2837608394224382,0.3772738769914047,0.2697284878838872,0.3033750947895522,168
Mauritania,0.3174896061842373,0.3016720518096707,0.3215288961014605,0.259863307633052,0.3001384654321052,169
Angola,0.245038416430745,0.3029032981406409,0.3116594136929669,0.3313595558950215,0.2977401710398435,170
Gabon,0.2483591473208742,0.3147958918623452,0.3606291030291798,0.2591666708408044,0.2957377032633009,171
Kyrgyz Republic,0.3003169999357186,0.3643968921780032,0.2884560367648304,0.2132845481552508,0.2916136192584507,172
Russian Federation,0.2481666576407556,0.2320538684666973,0.4157896446122992,0.2696529398192112,0.2914157776347408,173
Pakistan,0.2811526601915277,0.2981559979407241,0.3531787259061403,0.229561663603309,0.2905122619104253,174
Madagascar,0.3129478812661384,0.3087656834716482,0.2941406309833327,0.2423614542009848,0.289553912480526,175
Sierra Leone,0.3233888139410982,0.2342992517428679,0.2708032835508072,0.3130458364905516,0.2853842964313312,176
Bangladesh,0.2946469533196674,0.2604194448713606,0.3489906484769833,0.2211674648307445,0.2813061278746889,177
Honduras,0.2433674280915834,0.3376932295728994,0.3488338367315275,0.1884177004703969,0.2795780487166018,178
Mozambique,0.2390739807918674,0.305185370215534,0.3272457196030807,0.2304378419336885,0.2754857281360427,179
Nigeria,0.2835542150046795,0.336430621397632,0.2619346832139966,0.2183105164238689,0.2750575090100442,180
Tajikistan,0.2417277642775542,0.3063141566573312,0.3530425543775384,0.1946062771710521,0.273922688120869,181
Belarus,0.2306398050819594,0.1927051678296584,0.3304455147012022,0.341572767330664,0.273840813735871,182
Liberia,0.3164263467552536,0.2863941545553439,0.2080985068835684,0.233752398386819,0.2611678516452462,183
Cameroon,0.225169416825117,0.3135448494169564,0.3081562366043532,0.1931061150230313,0.2599941544673645,184
Guinea,0.2501984931531189,0.2744191850023676,0.288532533585945,0.204556104341068,0.2544265790206249,185
Mali,0.2628752256389062,0.3054786406524127,0.1989243010726219,0.249037991439816,0.2540790397009392,186
Bolivia,0.2218570375644226,0.1873874755862919,0.3509125918034846,0.2451953797487346,0.2513381211757334,187
Lebanon,0.2650038501484875,0.2583057957384124,0.23419032382142,0.1747592858980025,0.2330648139015806,188
Burundi,0.2135513775799822,0.293104197508113,0.2620474295563323,0.1383744142784739,0.2267693547307254,189
"Iran, Islamic Rep.",0.229645771907158,0.1257380321390517,0.3294175465560416,0.2108091772149426,0.2239026319542985,190
Zimbabwe,0.2352908109529183,0.2057094633465343,0.2661927666887832,0.1868176117611609,0.2235026631873492,191
Iraq,0.2004599736803012,0.2411091870887582,0.2405317890108969,0.1975337417003397,0.219908672870074,192
Comoros,0.2542372985615963,0.1887843854008335,0.2165647015997358,0.2122924743144622,0.2179697149691569,193
"Congo, Rep.",0.2429518103174137,0.2120709507137938,0.2385658476595678,0.1473169109425719,0.2102263799083368,194
Chad,0.1799973459326062,0.2273585420653633,0.240842649991827,0.1548202261653553,0.2007546910387879,195
Nicaragua,0.1385822306994021,0.2505900381873046,0.2515162249398233,0.1452205900092463,0.1964772709589441,196
Guinea-Bissau,0.2296394076343026,0.2027713120468714,0.1808504559915764,0.1651354320836914,0.1945991519391104,197
Turkmenistan,0.1874443732387201,0.0832161943253777,0.2501323646550907,0.1763473117319481,0.1742850609877841,198
Equatorial Guinea,0.1573541621551898,0.1526858948125661,0.2224234237847976,0.1359370930933674,0.1671001434614802,199
Central African Republic,0.1160834141820747,0.1841174934183918,0.1339246646908057,0.1734182617961938,0.1518859585218665,200
Myanmar,0.093180430849916,0.1477255644262144,0.1380218263443103,0.1865758947172464,0.1413759290844218,201
"Congo, Dem. Rep.",0.1369488128631938,0.180089212089451,0.1076707355818427,0.1262308670735018,0.1377349069019973,202
"Korea, Dem. People's Rep.",0.1608300251535464,0.0386815595834849,0.2024797861754388,0.1165706408180771,0.1296405029326368,203
Libya,0.120054554830825,0.0710878468774149,0.1691998958062089,0.122495718368579,0.1207095039707569,204
Haiti,0.1424400210461062,0.1372408463666751,0.0352970392226557,0.1204843890080139,0.1088655739108627,205
Afghanistan,0.0638700679517435,0.1192397476223366,0.053644193116427,0.173706047535265,0.102615014056443,206
Sudan,0.102239417272982,0.0894197686878019,0.0851009616544299,0.116559336180662,0.098329870948969,207
Eritrea,0.0953033062208212,0.0,0.1609593285312974,0.0991648768040374,0.088856877889039,208
"Yemen, Rep.",0.0718902583589578,0.1082756036645127,0.0673890053809652,0.0985347351757717,0.0865224006450518,209
