country,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,PQC,QSSI_SCORE,RANK
mauritius,0.5849327554430694,0.6498424329697279,0.3852061364022879,0.5486406117247239,0.5513619356430496,39
albania,0.4463222202606491,0.4876508458624123,0.2701885519067149,0.955819881053526,0.5487388767615996,40
thailand,0.7226189440159491,0.4707354303628075,0.3676399120567997,0.5486406117247239,0.5356387923632017,41
argentina,0.7006343917522271,0.4557897315810742,0.3486768488372286,0.5751911639762107,0.5284229960837532,42
dominican republic,0.49687845562053,0.4837470816098899,0.2916710080424913,0.7787807986406118,0.5210741924321222,43
montenegro,0.4093138007105392,0.5286793346803573,0.3333746476230859,0.7875955819881053,0.5209888768370483,44
georgia,0.4260787474964091,0.5884643755050036,0.4096519846418876,0.637213254035684,0.5198863460969999,45
peru,0.6705341359776238,0.4155681176337643,0.2685364944856179,0.681393372982158,0.5193544370959629,46
philippines,0.7182405901697629,0.438949807293756,0.3266419423350331,0.5486406117247239,0.5172064962996588,47
bhutan,0.3877174839763055,0.6515967997708036,0.4978538531478085,0.5044604927782498,0.5119799243709571,48
indonesia,0.6857033074986308,0.4672230367361789,0.3733595901203665,0.4601741716227697,0.5037951214845819,49
ghana,0.5177079893507044,0.4831825899719507,0.3350681388628944,0.6282922684791844,0.49770974245991484,50
benin,0.4745324592805576,0.4278812747746087,0.4796786347655915,0.5841121495327103,0.4905361502535653,51
morocco,0.4340845645761779,0.4499010939512184,0.2001909856827422,0.796516567544605,0.4803779451277634,52
bangladesh,0.5512465092727128,0.2813061278746889,0.4272125185465458,0.6637638062871708,0.4801360398484016,53
kuwait,0.4451672017271014,0.5619613041168726,0.5664796184894159,0.3539719626168224,0.4794767819858582,54
costa rica,0.5350895708785564,0.6196565913730386,0.2405479830122125,0.4689889549702634,0.4793841272728183,55
tunisia,0.4144454671830577,0.4221027110740237,0.2013285318234645,0.796516567544605,0.4678432209318375,56
botswana,0.3540654446025904,0.5953814693423877,0.3168220363280914,0.477909940526763,0.44294880365624517,57
panama,0.3780987882333529,0.4550758091891383,0.3411463829258876,0.5751911639762107,0.4408499656583984,58
kenya,0.6230120368442038,0.3828781232875737,0.2175382202561744,0.4955395072217502,0.440298468061466,59
nigeria,0.5835579640472963,0.2750575090100442,0.2713867808869889,0.5751911639762107,0.43191453913492617,60
mongolia,0.427361966866255,0.433235355213235,0.3697003596208008,0.4867247238742566,0.4317603760733302,61
jamaica,0.4529910857618803,0.4980929489582634,0.297716791509383,0.4424384027187765,0.42988294141935146,62
senegal,0.4393420098712652,0.4862027587609999,0.3666662555199322,0.3539719626168224,0.4152689853590374,63
ecuador,0.6220218479573252,0.3404036848024685,0.1945621115089828,0.3893372982158029,0.3969191678639413,64
mexico,0.500762320526709,0.3467610006428698,0.2448524026908713,0.362786745964316,0.37029752829990337,65
pakistan,0.5032371872404733,0.2905122619104253,0.1501952428715164,0.4689889549702634,0.36248337233807393,66
algeria,0.4499496834942319,0.3585966585677635,0.2755542924048365,0.3451571792693288,0.3620232791026375,67
antigua and barbuda,0.2048522291268782,0.6072894192836624,0.4546139035781736,0.1503823279524214,0.35304477716625127,68
bosnia and herzegovina,0.3354885827102261,0.3881540341765276,0.2549432841158808,0.3717077315208156,0.3419495971756591,69
maldives,0.1996851448508534,0.4499312203774921,0.4547381138887519,0.2743203058623619,0.34016230056612784,70
uganda,0.3485503866280423,0.3342418160529067,0.3680186843247699,0.2831350892098555,0.332293276602014,71
burkina faso,0.2873107980107238,0.3457137059670255,0.3964978220282902,0.2477697536108751,0.316212913730521,72
cambodia,0.3249565887217305,0.3055012264081449,0.3840682768923968,0.2124044180118946,0.30378206004342007,73
angola,0.2274411567617198,0.2977401710398435,0.3009719446820423,0.2920560747663551,0.2782903474127457,74
guatemala,0.2618465087617673,0.3121409483360726,0.2923819781985882,0.159303313508921,0.2561187568999022,75
myanmar,0.1148774880758125,0.1413759290844218,0.3698399394553571,0.3982582837723025,0.24712279723391303,76
chad,0.1065065938991995,0.2007546910387879,0.4842051068569534,0.2212192013593882,0.24053344775154112,77
honduras,0.1530787659767057,0.2795780487166018,0.3009161386125323,0.203483432455395,0.23126387038866167,78
nicaragua,0.1542887277258097,0.1964772709589441,0.3890415032781305,0.1769328802039082,0.22088893134560889,79
iraq,0.2574107896862957,0.219908672870074,0.1826152129705428,0.2124044180118946,0.22014046792566605,80
guinea,0.0882557582795792,0.2544265790206249,0.329246242516694,0.2300339847068818,0.21984131239174318,81
libya,0.2584009785731744,0.1207095039707569,0.3088199064908667,0.1858538657604078,0.2133541932481683,82
zimbabwe,0.2595193682963511,0.2235026631873492,0.2160812941167516,0.1503823279524214,0.21310913420126,83
mali,0.164000206501554,0.2540790397009392,0.288416805030704,0.0796516567544605,0.19343126863848933,84
burundi,0.0909125580383334,0.2267693547307254,0.2993663040932398,0.0088147833474936,0.15104269907341444,85
liberia,0.0504072981046679,0.2611678516452462,0.1599226499175314,0.0972812234494477,0.14251902307895342,86
haiti,0.0622981910974804,0.1088655739108627,0.2515412115441287,0.0,0.09911571903380481,87
