ISO3,country,MEAN_RANK,MEDIAN_RANK,RANK_STD,RANK_P02_5,RANK_P97_5,CI_WIDTH,RELIABILITY_SCORE,RELIABILITY_TIER,SOVEREIGN_STABILITY
GIN,Guinea,177.3194,178.0,8.469036759868208,155.0,189.0,34.0,0.7309275087074159,B,Stable
LBY,Libya,178.2906,182.0,11.703236801842431,145.0,192.0,47.0,0.6280468502720161,C,Stable
MDG,Madagascar,179.0894,183.0,12.34866825370257,149.0,192.0,43.0,0.6597024374829084,C,Stable
SDN,Sudan,179.467,185.0,12.954347185404705,150.0,193.0,43.0,0.6597024374829084,C,Stable
BOL,Bolivia (Plurinational State of),179.6148,180.0,9.306805088750927,161.0,192.0,31.0,0.7546691991155852,B,Highly Stable
YEM,Yemen,179.9855,185.0,13.222136353479325,150.0,194.0,44.0,0.6517885406801853,C,Stable
IRQ,Iraq,180.5652,184.0,9.849748674966383,154.97500000000002,191.0,36.02499999999998,0.7149018676819019,B,Stable
ZWE,Zimbabwe,181.1459,185.0,10.376165630424486,153.0,191.0,38.0,0.6992719214965237,C,Stable
MLI,Mali,183.12,186.0,8.307177619384163,167.0,192.0,25.0,0.8021525799319235,A,Highly Stable
BDI,Burundi,188.3035,192.0,6.576228991602883,174.0,194.0,20.0,0.8417220639455387,A,Highly Stable
VEN,"Venezuela, Bolivarian
Republic of",191.1395,193.0,5.673908683614996,175.0,195.0,20.0,0.8417220639455387,A,Highly Stable
LBR,Liberia,191.4012,193.0,4.487854560923438,177.0,195.0,18.0,0.8575498575509849,A,Highly Stable
HTI,Haiti,193.3718,195.0,2.7123356650679518,186.0,195.0,9.0,0.9287749287754925,A+,Highly Stable
