country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,QSSI_SCORE,RANK
New Zealand,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374,0.6703071498948656,28
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,0.657045092152566,29
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,0.6569153725194102,30
Latvia,0.6839439135939636,0.7128040076102724,0.8672472387425658,0.3552109201366935,0.6533585153200584,31
Hungary,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522,0.6463387720191178,32
Israel,0.8330814494352046,0.7102983445158382,0.615016992353441,0.3721529253472198,0.6387765831588943,33
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,0.6375628511375253,34
Romania,0.6618152681024874,0.5630706906556661,0.9380841121495328,0.3381785657104029,0.6302243880268634,35
Jordan,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328,0.6277605166976794,36
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.3552109201366935,0.6261969280943414,37
Uruguay,0.6743093254595549,0.7147129937076987,0.8141461342395921,0.3008470431696006,0.6239836907317045,38
Czechia,0.7541098835777815,0.7569119935642942,0.615016992353441,0.3552109201366935,0.6201723419087269,39
Malaysia,0.694076623688973,0.6343759533959803,0.7256796941376381,0.3700095659368269,0.6090204928045042,40
Serbia,0.733904250630777,0.4595242202315567,0.8141461342395921,0.3552109201366935,0.6044153828296159,41
Malta,0.7284453468786497,0.6159298724988426,0.5751911639762107,0.4503893289071978,0.5981147017842156,42
Croatia,0.535914930118766,0.5810184233716522,0.8318819031435853,0.3552109201366935,0.5737513695300299,43
Oman,0.6513333733020896,0.6219728920815022,0.5751911639762107,0.435304029798536,0.572418388850614,44
Kazakhstan,0.6431786189671082,0.477791166390182,0.7699660152931181,0.3552109201366935,0.5698060528256217,45
Bulgaria,0.6442237510695432,0.4970729169664213,0.8141461342395921,0.2941393556945477,0.5697530811976821,46
Brazil,0.8309191386164575,0.4130226744470213,0.7168649107901445,0.2238163084764187,0.5670505812909823,47
Ukraine,0.7157303056524923,0.3602563960267648,0.8937977909940527,0.2106964565756289,0.562893932793521,48
Qatar,0.6568301168714523,0.6930377838391899,0.3893372982158029,0.4902462445082824,0.555552477510295,49
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.3552109201366935,0.5549243843925388,50
Rwanda,0.5764678672268,0.5707738424204216,0.6460280373831776,0.4160237011195762,0.5526080632778128,51
Thailand,0.7226189440159491,0.4707354303628075,0.5486406117247239,0.3676399120567997,0.5400029002227271,52
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.3552109201366935,0.5397469950570415,53
Brunei Darussalam,0.4113295962878027,0.6961439584307305,0.615016992353441,0.4922194845494351,0.539436789798206,54
Mauritius,0.5849327554430694,0.6498424329697279,0.5486406117247239,0.3852061364022879,0.5389100002586193,55
Liechtenstein,0.3973887009210851,0.883351736046467,0.615016992353441,0.3552109201366935,0.5384439356081525,56
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,0.5379289434907375,57
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,0.5323152670452428,58
Viet Nam,0.6580034498101853,0.4389350895634804,0.615016992353441,0.3552109201366935,0.5277450309782853,59
Türkiye,0.6721103858304366,0.3942686577959002,0.615016992353441,0.3552109201366935,0.5230438254308447,60
Philippines,0.7182405901697629,0.438949807293756,0.5486406117247239,0.3266419423350331,0.5220827770246194,61
Peru,0.6705341359776238,0.4155681176337643,0.681393372982158,0.2685364944856179,0.521756331186984,62
Andorra,0.4134003350806227,0.7753004172964071,0.615016992353441,0.3552109201366935,0.5216371621060019,63
Russian Federation,0.6604954199222706,0.2914157776347408,0.615016992353441,0.4404920315660318,0.5203090374834975,64
Monaco,0.3630602395623732,0.8397839801049591,0.615016992353441,0.3552109201366935,0.5194318460122374,65
Dominican Republic,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913,0.5134259046789127,66
North Macedonia,0.3794552652239404,0.4750930531211059,0.8496176720475787,0.3552109201366935,0.5100623382374713,67
Montenegro,0.4093138007105392,0.5286793346803573,0.7875955819881053,0.3333746476230859,0.508772564552031,68
Indonesia,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665,0.5075390400326091,69
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,0.5072328090193163,70
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,0.4972131916285669,71
Bangladesh,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458,0.4943792595651808,72
Benin,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915,0.4938836888136644,73
Ghana,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944,0.4927890166351212,74
San Marino,0.3385482993830599,0.7315062845905829,0.615016992353441,0.3552109201366935,0.49042272485556815,75
Uzbekistan,0.6344231222816007,0.3713456332124479,0.5398258283772303,0.3552109201366935,0.48835525045545075,76
Colombia,0.6453604551979052,0.4377352101445263,0.615016992353441,0.2117285367743431,0.4878415608702229,77
