ISO3,country,MEAN_RANK,RANK_STD,RVI,RANK_FLIP_PROB,STABILITY_RAW,STABILITY_SCORE,CAPABILITY_SCORE,UNCERTAINTY,QSSI_SCORE,STABILITY_CLASS,CAPABILITY_CLASS
USA,United States of America,7.6862,5.236576129495273,0.6812958456472609,0.2759,0.5109350718396256,0.3840386975303443,0.9685557489573341,0.9571958456472609,0.6467797501438758,Moderate,Very High Capability
URY,Uruguay,46.9192,12.791718858698905,0.27263292763785985,0.4286,0.587808984739372,0.5790884608029253,0.7639122671868659,0.7012329276378598,0.6253436317967306,Highly Stable,Very High Capability
OMN,Oman,54.6818,9.742255835277623,0.1781626763401984,0.4695,0.6069203450194114,0.6261646844500954,0.7234217237262222,0.6476626763401984,0.6251909998780326,Highly Stable,High Capability
GBR,"United Kingdom of Great
Britain and Northern Ireland",23.9576,9.09158964318118,0.37948666155214605,0.4938,0.5338211286741517,0.4410721173279737,0.8836824038325668,0.8732866615521461,0.6235084059659358,Stable,Very High Capability
MLT,Malta,48.7409,10.304473164116617,0.2114132723011927,0.5244,0.5760988327242628,0.5494547592326252,0.7544100871154652,0.7358132723011926,0.5988942177448339,Stable,Very High Capability
HRV,Croatia,54.0749,8.562096121277753,0.15833771530080343,0.5516,0.5848166228815446,0.5715612819260316,0.7265873783813975,0.7099377153008034,0.5923320694361451,Stable,High Capability
CZE,Czechia,26.6466,11.235546646247146,0.4216502910624806,0.5152,0.5163021657453137,0.397191114322573,0.869656295136296,0.9368502910624805,0.5818363134280647,Moderate,Very High Capability
CIV,Côte D'Ivoire,96.215,7.442699443078482,0.07735487650575405,0.3997,0.6770229162816784,0.7751382244065708,0.5067801552234512,0.47705487650575407,0.5582299621977875,Highly Stable,High Capability
FIN,Finland,10.6491,6.761225420735488,0.6349105013663668,0.503,0.4677464278139271,0.28554923538246024,0.9531009488620642,1.1379105013663668,0.5575056704956016,Unstable,Very High Capability
LKA,Sri Lanka,90.007,7.815801366462676,0.08683548353323452,0.4398,0.6550352135701752,0.7332502198317472,0.5391617404917475,0.5266354835332345,0.5552242691988507,Highly Stable,High Capability
AZE,Azerbaijan,65.1614,10.458238381295473,0.1604974475860705,0.5461,0.5859612654492535,0.574444699894321,0.6687590206048244,0.7065974475860706,0.5506239049211865,Stable,High Capability
ROU,Romania,45.2692,11.895315521666538,0.2627684059228741,0.5982,0.537354635800004,0.4500590753934911,0.7725188418796315,0.860968405922874,0.5459605350340233,Stable,Very High Capability
ISR,Israel,42.6367,11.547394212981578,0.2708322692119875,0.6121,0.5310865485451066,0.43414320952585295,0.7862502405939984,0.8829322692119874,0.5452520471527074,Moderate,Very High Capability
IND,India,37.833,11.420635315077655,0.3018696723700417,0.6232,0.5194617183745116,0.40500520660695744,0.8113068483828699,0.9250696723700417,0.5434969928133826,Moderate,Very High Capability
NZL,New Zealand,32.7867,10.966293955115411,0.3344738553981016,0.6699,0.498908922258609,0.3552000736906383,0.8376288834568717,1.0043738553981016,0.5265612879527138,Moderate,Very High Capability
KOR,Republic of Korea,24.9741,11.614259734912155,0.4650521834399279,0.6108,0.4817298688112195,0.3158024511004918,0.8783802322112357,1.075852183439928,0.5263861847239473,Unstable,Very High Capability
GEO,Georgia,70.7486,9.383496045717575,0.13263154388334106,0.586,0.5818582834459363,0.5640869767173068,0.6396155938633578,0.718631543883341,0.5219301694393508,Stable,High Capability
POL,Poland,33.2789,13.763397647020142,0.4135773011309438,0.6009,0.49640668546555083,0.34932189543150766,0.8350615161454904,1.0144773011309438,0.5201336616264479,Moderate,Very High Capability
NOR,Norway,4.1075,4.775996623742855,1.16275024286795,0.1651,0.42958089897053847,0.21247985624396099,0.9872226270500615,1.32785024286795,0.5141459787252841,Unstable,Very High Capability
TWN,Taiwan,43.4431,12.671912341473941,0.2916898734478491,0.6519,0.5145118389745676,0.39278623215874064,0.7820439728168795,0.9435898734478492,0.5126150686986318,Moderate,Very High Capability
JOR,Jordan,46.0442,12.587098409085467,0.27336990128641825,0.6492,0.5201371348479378,0.406682032515179,0.7684763598269688,0.9225699012864182,0.5124226228207144,Moderate,Very High Capability
HUN,Hungary,43.6339,15.280309904907021,0.3501935399897059,0.6034,0.5118772045106523,0.3863358148296556,0.7810487398160433,0.953593539989706,0.5071574996471645,Moderate,Very High Capability
KAZ,Kazakhstan,63.7545,11.874301232072554,0.18625040164829626,0.6217,0.5531125185117394,0.49045290110790246,0.6760975599595225,0.8079504016482963,0.5007976570823455,Stable,High Capability
MUS,Mauritius,65.6012,13.569803187961126,0.20685297201505873,0.6477,0.5392135005523477,0.45480032371623264,0.6664649772412616,0.8545529720150588,0.4693049329634627,Stable,High Capability
VNM,Viet Nam,57.3384,14.41231714333278,0.25135541178479737,0.67,0.5204659137327818,0.4074990672493011,0.709564616860282,0.9213554117847974,0.46861169379681605,Moderate,High Capability
SRB,Serbia,55.6263,14.078822689060225,0.25309651529595045,0.6827,0.5165832214793077,0.3978841536169999,0.7184951117278481,0.9357965152959504,0.4684214180019507,Moderate,High Capability
SLV,El Salvador,105.5745,8.236822794621665,0.07801905568620875,0.5178,0.6266374602037798,0.6723427627535553,0.4579600122919727,0.5958190556862087,0.45477411142276564,Highly Stable,Mid Capability
BGR,Bulgaria,62.8311,15.48333855439453,0.2464279402103115,0.7013,0.5134187272027437,0.3901052651632795,0.6809141121239466,0.9477279402103116,0.43445021135735634,Moderate,High Capability
TUR,Türkiye,69.8377,15.3916717321414,0.22039201938095052,0.6848,0.5248814764219554,0.4185198917940103,0.6443669447043519,0.9051920193809505,0.42733043860620357,Moderate,High Capability
ZMB,Zambia,84.6463,14.463478015677895,0.17086958337821057,0.6528,0.548344946428056,0.47819416737080533,0.5671237192526617,0.8236695833782106,0.41040421840688834,Stable,High Capability
AND,Andorra,53.149,16.905502033361774,0.3180775185430337,0.7705,0.4787947735344715,0.30930963682863505,0.7314169708105076,1.0885775185430338,0.4103490527816735,Unstable,Very High Capability
BRN,Brunei Darussalam,57.626,15.91338191585935,0.27614934084585435,0.7775,0.48693804736310115,0.3275013769173542,0.7080644648108037,1.0536493408458543,0.4074070615041332,Unstable,High Capability
MNE,Montenegro,74.0389,13.876966051338405,0.1874280418962326,0.7281,0.522049261680384,0.41144087182660055,0.6224530407048083,0.9155280418962326,0.40578167869756776,Moderate,High Capability
BEN,Benin,78.6628,15.238283898129678,0.1937165203620512,0.6941,0.529712495475046,0.4306711376435103,0.5983342887521543,0.8878165203620513,0.40120589703188053,Moderate,High Capability
DOM,Dominican Republic,77.8042,15.780293481428096,0.20282058656506044,0.6922,0.527698752767965,0.42559502869910704,0.6028128372559172,0.8950205865650604,0.4010137392744021,Moderate,High Capability
VUT,Vanuatu,115.7978,8.353437326034928,0.07213813497288196,0.5552,0.6145004400186713,0.6442458914767821,0.40463419710618453,0.6273381349728819,0.396559740869003,Highly Stable,Mid Capability
SVK,Slovakia,56.7373,17.180887308576406,0.3028146793780034,0.7852,0.478923836061291,0.3095935884345158,0.712700018101386,1.0880146793780034,0.39647619853165467,Unstable,High Capability
TZA,United Republic of Tanzania,96.265,14.026894702677435,0.14571126268666412,0.6458,0.5581879504906581,0.5035155073438173,0.5065193499297311,0.7915112626866642,0.38175030507089214,Stable,High Capability
CHN,China,23.1844,16.360458326098303,0.7056666691996617,0.8102,0.39747734339122043,0.16238732222061733,0.8877154968946555,1.5158666691996618,0.37992261846495196,Unstable,Very High Capability
ARG,Argentina,75.1463,15.907491829638005,0.21168696036167206,0.756,0.5082109197980325,0.3774260023110426,0.616676725059494,0.967686960361672,0.3767262712386713,Moderate,High Capability
LSO,Lesotho,115.5764,9.380850869723819,0.08116579915659816,0.5899,0.5984204814105518,0.6054642367394775,0.4057890429467774,0.6710657991565981,0.3725011572515752,Highly Stable,Mid Capability
THA,Thailand,71.8024,17.934206261778137,0.24977168258342844,0.7692,0.4953016471832946,0.3467403599365188,0.6341188614929114,1.0189716825834285,0.36671667004499403,Moderate,High Capability
MDA,Republic of Moldova,86.3617,15.311703795136635,0.17729738755674493,0.7277,0.5249351030777792,0.4186542637168837,0.5581760112357101,0.904997387556745,0.36247145306981865,Moderate,High Capability
SMR,San Marino,53.0664,22.382971005655243,0.42179177417788755,0.8027,0.4495408846227688,0.24889037910130346,0.7318478211557333,1.2244917741778876,0.35790345094191545,Unstable,Very High Capability
TGO,Togo,121.6346,9.134762330788815,0.0751000318224725,0.5997,0.5970862079049681,0.6021779921934303,0.37418883033846684,0.6748000318224725,0.3465686309767589,Highly Stable,Mid Capability
NPL,Nepal,93.2365,16.839553668372726,0.1806111733944551,0.7133,0.5280078675536303,0.4263732342493041,0.5223163265703616,0.8939111733944551,0.34089878771935367,Moderate,High Capability
ZAF,South Africa,93.1694,17.49519087177976,0.18777829278273747,0.7082,0.527432198884669,0.42492426719629445,0.5226663272745342,0.8959782927827376,0.34014208577809196,Moderate,High Capability
HTI,Haiti,193.3718,2.7123356650679518,0.014026531609334585,0.0946,0.9020170196976548,0.9721867387675377,5.2160498142939105e-12,0.10862653160933458,0.33303764774990147,Highly Stable,Low Capability
LIE,Liechtenstein,30.2028,22.85998408048436,0.7568829406454858,0.8402,0.38504738695463353,0.14572312128151602,0.8511067794257428,1.5970829406454858,0.32879165569987195,Unstable,Very High Capability
LBR,Liberia,191.4012,4.487854560923438,0.02344736898671477,0.1288,0.8678691979825469,0.9609266743097942,0.01027885824131547,0.15224736898671476,0.327189956684255,Highly Stable,Low Capability
BHS,Bahamas,80.0666,18.065535265803717,0.22563135271858786,0.811,0.4910068769515674,0.33679354584523985,0.591011919325667,1.036631352718588,0.32651259620331186,Unstable,High Capability
MOZ,Mozambique,173.869,5.176141323418423,0.029770351951116374,0.3152,0.7435108131189092,0.8723721161858026,0.10172866965253047,0.34497035195111636,0.3200958715177854,Highly Stable,Low Capability
PNG,Papua New Guinea,137.3648,8.430926459174016,0.061376178315788614,0.5528,0.6195110629394789,0.6559795989594233,0.2921384417129267,0.6141761783157885,0.31931039974515874,Highly Stable,Mid Capability
MCO,Monaco,66.0168,21.629501098268463,0.3276363152703679,0.8638,0.4563217251771358,0.2621690283385934,0.6642971636398597,1.191436315270368,0.3192488851885659,Unstable,High Capability
VEN,"Venezuela, Bolivarian
Republic of",191.1395,5.673908683614996,0.029684647514434805,0.1547,0.8443202992360743,0.9507342222643976,0.011643913148646767,0.1843846475144348,0.31742381052699964,Highly Stable,Low Capability
CUB,Cuba,121.4437,10.76568763758258,0.08864755963046195,0.6415,0.5779853830580715,0.5542583439074402,0.3751845849498904,0.7301475596304619,0.31624567261149816,Stable,Mid Capability
BTN,Bhutan,72.2991,22.93195672396928,0.3171817729909791,0.8397,0.46363227346174174,0.27698675377064225,0.6315280217050954,1.156881772990979,0.30774672381226714,Unstable,High Capability
MNG,Mongolia,110.3299,15.099770395274179,0.1368601838226747,0.6908,0.547147663910056,0.4751191685880187,0.43315534241683484,0.8276601838226747,0.30736031338249475,Stable,Mid Capability
QAT,Qatar,61.4233,29.06402444793241,0.4731758867963662,0.8142,0.4371821901998677,0.22586988106684902,0.6882573459739316,1.2873758867963663,0.3026659628590244,Unstable,High Capability
ALB,Albania,71.6813,24.01305333167773,0.33499745863067126,0.8444,0.4588424181371241,0.2672200578451088,0.6347505319143016,1.1793974586306712,0.30153290492815665,Unstable,High Capability
RUS,Russian Federation,79.8671,24.217321024217284,0.30322023741833704,0.7992,0.4756423012879424,0.3024188647637206,0.5920525324476105,1.102420237418337,0.29964521907175634,Unstable,High Capability
PER,Peru,82.9037,21.69859042219105,0.26173247300095553,0.8135,0.4818737240333939,0.31612256046841014,0.5762133053493971,1.0752324730009555,0.29892956290821016,Unstable,High Capability
BGD,Bangladesh,86.8102,22.697439854750154,0.2614605179401579,0.7828,0.4891744428971422,0.3325925702339472,0.5558365877510403,1.0442605179401578,0.2967092972180292,Unstable,High Capability
PHL,Philippines,82.8163,21.53967396016002,0.2600897886032089,0.8238,0.47987182694065633,0.3116836671982192,0.5766691930028199,1.0838897886032088,0.29566914120501014,Unstable,High Capability
UZB,Uzbekistan,91.183,20.295435718407244,0.22257916188527097,0.7869,0.49764138835946475,0.35221682895565126,0.5330275999834491,1.009479161885271,0.2947355796879981,Moderate,High Capability
IDN,Indonesia,85.4048,24.40646506481429,0.28577392681123914,0.8131,0.4764459585808816,0.30416726122102716,0.5631673029469269,1.098873926811239,0.2793246298840341,Unstable,High Capability
SYC,Seychelles,87.5189,21.732423767035232,0.24831692087979756,0.8439,0.47796191208485705,0.3074807168015005,0.5521399335178505,1.0922169208797976,0.273744548348964,Unstable,High Capability
BWA,Botswana,107.306,21.27599971799211,0.1982740920153005,0.7267,0.5194875111036308,0.4050692006199276,0.4489283249704432,0.9249740920153005,0.27045139521585926,Moderate,Mid Capability
BRA,Brazil,74.0765,30.05830081275385,0.4057737718756701,0.8469,0.4439169188565455,0.23822386066218287,0.6222569151239308,1.2526737718756702,0.2651380037380218,Unstable,High Capability
ZWE,Zimbabwe,181.1459,10.376165630424486,0.05728070925351998,0.3452,0.7130222850139999,0.8331606930864215,0.06377158881508438,0.40248070925352,0.2635527945607044,Highly Stable,Low Capability
PSE,State of Palestine,120.0317,13.079292607400394,0.10896532005538061,0.7376,0.5415459659829466,0.46076105657741223,0.382549726444548,0.8465653200553807,0.2594358902307759,Stable,Mid Capability
GMB,Gambia (Republic of The),122.9433,15.117694437644898,0.12296476861709368,0.7072,0.5463988910439023,0.4731970275932952,0.3673625125806351,0.8301647686170938,0.25647339533952457,Stable,Mid Capability
GAB,Gabon,131.2212,12.81433847531737,0.0976544832330425,0.6758,0.563871252098323,0.5181360460488037,0.32418410976291134,0.7734544832330424,0.2540620217665632,Stable,Mid Capability
BDI,Burundi,188.3035,6.576228991602883,0.03492356218321996,0.3305,0.732373475671584,0.8590509956862161,0.02643678940845473,0.36542356218322,0.25367575882734006,Highly Stable,Low Capability
CPV,Cabo Verde,103.2968,20.942337733882553,0.20273946272953094,0.7926,0.5011678557352075,0.360544537943227,0.46984073664210135,0.9953394627295309,0.2534467283887285,Moderate,Mid Capability
MKD,North Macedonia,91.4501,26.35923576263152,0.2882362705163065,0.8209,0.4741277336979297,0.2991393860854804,0.531634378104396,1.1091362705163066,0.25138517891641077,Unstable,High Capability
IRN,Iran (Islamic Republic of),75.8702,34.51639830515358,0.4549401254339469,0.8288,0.43787819325983257,0.22712531208791117,0.6129007860170134,1.2837401254339469,0.24713992928720158,Unstable,High Capability
UKR,Ukraine,75.6463,32.22588084614617,0.42600736381977916,0.8632,0.43683242322416643,0.22524083937327843,0.6140686721222923,1.2892073638197792,0.24612174905714332,Unstable,High Capability
GUY,Guyana,100.6011,22.09542438583195,0.21963402373942548,0.8313,0.48758272495607674,0.32896490264456707,0.4839017932477305,1.0509340237394256,0.23963583312687692,Unstable,Mid Capability
DJI,Djibouti,150.2517,9.723947095187238,0.0647177176372881,0.602,0.5999816222134986,0.6092971533516515,0.2249190069200777,0.666717717637288,0.23866516978049934,Highly Stable,Low Capability
COG,Congo,177.1721,10.02517239702137,0.05658437415916381,0.4234,0.6756828095351605,0.7727242292710034,0.08449935033878864,0.4799843741591638,0.23840115081059554,Highly Stable,Low Capability
KIR,Kiribati,100.4567,22.007728758551806,0.21907676400212958,0.8373,0.4862922094362686,0.326038573568941,0.4846549989359944,1.0563767640021295,0.2378819166431942,Unstable,Mid Capability
