ISO3,country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_SCORE,QSSI_RANK,QSSI_TIER,AI_INDEX_N,LEGAL_WGI_SCORE_N,PQC_N,RES_INDEX_N,CONFIDENCE_SCORE_N,AI_NORM_N,LEGAL_NORM_N,PQC_NORM_N,RES_NORM_N,QSSI_SCORE_N,QSSI_RANK_N,CAPABILITY_TRUE,RVI,RANK_FLIP_PROB,STABILITY_SCORE,UNCERTAINTY,SOVEREIGN_STATE_SCORE,REGIME_CLUSTER,REGIME_LABEL,ATTRACTOR_STRENGTH,SOVEREIGN_POTENTIAL,ATTRACTOR_TYPE,FLOW_CAPABILITY,FLOW_STABILITY,FLOW_UNCERTAINTY,FLOW_MAGNITUDE,FLOW_REGIME,POTENTIAL_U,GRAD_CAPABILITY,GRAD_STABILITY,GRAD_UNCERTAINTY,POTENTIAL_BASIN
CYP,Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,1.0,A,0.6912733086887354,0.6738224025206163,0.8672472387425658,0.510516185108232,0.6865873290734432,33,Silver,0.691273307997462,0.6738224018084791,0.8672472378753185,0.5105161844505226,0.9999999980000001,0.691273307997462,0.6738224018467939,0.8672472378753185,0.5105161845977159,0.7246784640318166,0.16494845360739718,0.6704859254625714,0.11471382189794008,0.1642,0.6860923733152641,0.2789138218979401,0.8267047720055338,1,FRAGILE / TRANSITIONAL SYSTEMS,0.09102726378146864,0.09732058884522003,TRANSITIONAL FIELD,0.01550369609833746,0.04870079656799664,-0.026929175101953126,0.05776947853961164,UPWARD STABILITY GAIN FLOW,0.09869641154289008,-0.028534454637475504,-0.060591031539920216,0.033528965422463565,WEAK FIELD ZONE
IRL,Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,True,True,True,True,False,False,False,False,1.0,A,0.8259901416078436,0.9042621625174443,0.7787807986406118,0.8499589142280498,0.8358344032030074,6,Gold,0.8259901407818534,0.904262161561764,0.778780797861831,0.8499589131330287,0.9999999980000001,0.8259901407818534,0.9042621616131821,0.778780797861831,0.8499589133780908,0.9084310482827513,0.02577319587615581,0.786562569921122,0.6444807986674728,0.21,0.6316343216740421,0.8544807986674727,0.8157285311775003,2,HIGH CAPABILITY VOLATILE POWERS,0.19249583116851934,0.45710562046904396,VOLATILE HIGH-ENERGY NODE,-0.040142381217813106,-0.0008718524429637275,0.0013491241836663947,0.04017450724752564,UNCERTAINTY EXPANSION FLOW,0.20535976441860823,0.031056231716954447,0.010199389433578935,-0.012625563971741546,HIGH CAPABILITY WELL
SWE,Sweden,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431,True,True,True,True,False,False,False,False,1.0,A,0.807195928866983,0.9386113016728082,0.7610450297366185,0.6667914833745165,0.7868401672724403,14,Gold,0.807195928059787,0.9386113006808255,0.7610450289755734,0.6667914825154742,0.9999999980000001,0.807195928059787,0.9386113007341967,0.7610450289755734,0.666791482707725,0.848109480720052,0.06701030927800511,0.7511279335188181,0.4327105007404694,0.2535,0.6440636805504005,0.6862105007404694,0.8139071072252679,2,HIGH CAPABILITY VOLATILE POWERS,0.2136155264628021,0.35608606103548746,VOLATILE HIGH-ENERGY NODE,-0.03466508060261475,0.003935216441196765,-0.0029777008396213445,0.03501457473560295,MIXED TRANSITION FLOW,0.2480001973116986,0.04104092651608626,0.003625463060341172,-0.0044328030988317986,HIGH CAPABILITY WELL
USA,United States of America,1.0,0.7699644775485605,0.8496176720475787,0.6490939635691801,True,True,True,True,False,False,False,False,1.0,A,1.0,0.7924757003896105,0.8496176720475787,0.7543530596165418,0.8594878229939522,4,Platinum,0.9999999989999999,0.792475699552073,0.8496176711979609,0.7543530586446918,0.9999999980000001,0.9999999989999999,0.7924756995971347,0.8496176711979609,0.7543530588621886,0.937553073208916,0.015463917525693486,0.795082713253329,0.6812958456472609,0.2759,0.6250256515412936,0.9571958456472609,0.7972750955852841,2,HIGH CAPABILITY VOLATILE POWERS,0.15918948736841812,0.5231126221250725,VOLATILE HIGH-ENERGY NODE,-0.03604189392042367,0.042084877764088646,-0.050986603712912304,0.07529800005290259,MIXED TRANSITION FLOW,0.17916149317466168,0.04543074750429362,-0.04663768495307593,0.05638219894037575,HIGH CAPABILITY WELL
ARE,United Arab Emirates,0.7817914268610413,0.7280314666812258,0.840696686491079,0.6142531708339929,True,True,True,True,False,False,False,False,1.0,A,0.7817914268610413,0.748158291441656,0.840696686491079,0.7094668858182855,0.7717099794239848,17,Gold,0.7817914260792498,0.748158290650956,0.8406966856503822,0.7094668849042635,0.9999999980000001,0.7817914260792498,0.7481582906934977,0.8406966856503822,0.7094668851088186,0.829481235351957,0.08247422680369859,0.7338347304520414,0.2872439824030696,0.3832,0.6453458399053495,0.6704439824030696,0.7921655418861232,2,FRAGILE / TRANSITIONAL SYSTEMS,0.23481518376137198,0.3521918105254407,CHAOTIC REGION,-0.016155939834099575,-0.005177552397225671,0.005618080502139966,0.017871325336347832,UNCERTAINTY EXPANSION FLOW,0.2620649344561167,0.011865194277242308,0.014652520723827944,-0.015025332541873696,WEAK FIELD ZONE
ESP,Spain,0.8851748838237983,0.6889226499688639,0.9027187765505524,0.4507107159205246,True,True,True,True,False,False,False,False,1.0,A,0.8851748838237983,0.7068256661933584,0.9027187765505524,0.49877147740911854,0.757290161875729,20,Gold,0.8851748829386233,0.7068256654463412,0.9027187756478335,0.49877147676654005,0.9999999980000001,0.8851748829386233,0.7068256654865327,0.9027187756478335,0.498771476910347,0.8117275959297279,0.09793814432939207,0.7178770309128905,0.2654794691240442,0.3483,0.6501419800435028,0.6137794691240441,0.7857853362158954,2,FRAGILE / TRANSITIONAL SYSTEMS,0.20964763144697734,0.3191914173319722,CHAOTIC REGION,0.0028060968564285194,-0.023722512280166974,0.022165392747861667,0.03258736571306876,UNCERTAINTY EXPANSION FLOW,0.2523614378947784,-0.006685414083475338,0.007019068170355099,-0.007683801906587277,WEAK FIELD ZONE
ITA,Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,True,True,True,True,False,False,False,False,1.0,A,0.7930010538413984,0.6598092469194646,0.8937977909940527,0.46599961778105464,0.7098115177300893,29,Gold,0.7930010530483973,0.6598092462221373,0.8937977901002548,0.4659996171806969,0.9999999980000001,0.7930010530483973,0.6598092462596553,0.8937977901002548,0.46599961731505496,0.7532720207744116,0.14432989690647252,0.6838924844505212,0.17950350437392792,0.2773,0.6651732664265473,0.4568035043739279,0.7853105775841582,1,FRAGILE / TRANSITIONAL SYSTEMS,0.1554058495027701,0.22183177593500994,TRANSITIONAL FIELD,-0.003132347169881866,-0.03849671487795536,0.030495366514993044,0.04921154370745766,UNCERTAINTY EXPANSION FLOW,0.1758940067978796,0.02767766675253258,0.03408296423522916,-0.02691550253753144,WEAK FIELD ZONE
LUX,Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,True,True,True,True,False,False,False,False,1.0,A,0.762188958278292,0.9700320069448999,0.7787807986406118,0.8087222075886736,0.819538840429789,9,Gold,0.762188957516103,0.97003200591971,0.778780797861831,0.8087222065467787,0.9999999980000001,0.762188957516103,0.9700320059748678,0.778780797861831,0.8087222067799513,0.8883679965354001,0.041237113401849296,0.7790048221740385,0.656815246218092,0.2613,0.6274622436958529,0.9181152462180919,0.7843362885651066,2,HIGH CAPABILITY VOLATILE POWERS,0.19360729842913174,0.5033055295001219,VOLATILE HIGH-ENERGY NODE,-0.008916540492066138,0.02112925934815879,-0.024730813357267567,0.0337277841587676,MIXED TRANSITION FLOW,0.20952024012110212,0.018305394075936083,-0.02568206653714607,0.030126408584731017,HIGH CAPABILITY WELL
CAN,Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,1.0,A,0.8640010094156945,0.8810606136280698,0.9823704333050128,0.49452410777995737,0.8046360608215648,11,Gold,0.8640010085516934,0.8810606126969102,0.9823704323226423,0.4945241071428509,0.9999999980000001,0.8640010085516934,0.8810606127470091,0.9823704323226423,0.4945241072854332,0.8700197355627525,0.05154639175231162,0.76049804063054,0.4946156666512973,0.353,0.632100385206445,0.8476156666512973,0.7774565285298369,2,HIGH CAPABILITY VOLATILE POWERS,0.2501220199732601,0.4630523608916891,VOLATILE HIGH-ENERGY NODE,0.00383164282950077,-0.004880175922270857,0.005961373473936771,0.008604392918790602,UNCERTAINTY EXPANSION FLOW,0.24616474943442881,0.010218031996797753,0.006541568964223791,-0.007842265007489413,HIGH CAPABILITY WELL
CHE,Switzerland,0.7265760665428697,0.922336409910996,0.796516567544605,0.556696497294005,True,True,True,True,False,False,False,False,1.0,A,0.7265760665428697,0.95351181725849,0.796516567544605,0.6353153338888657,0.7666331587729266,18,Gold,0.7265760658162935,0.9535118162507595,0.7965165667480884,0.6353153330703748,0.9999999980000001,0.7265760658162935,0.953511816304978,0.7965165667480884,0.6353153332535504,0.8232306678292691,0.08762886597892976,0.7395180996196932,0.38101995787272186,0.3818,0.6381336745811425,0.7628199578727218,0.7715179417509386,2,FRAGILE / TRANSITIONAL SYSTEMS,0.2384320346770862,0.41365248166365115,CHAOTIC REGION,-0.003798668359221935,-0.004741638063488041,0.006063074309033356,0.008583349165991839,UNCERTAINTY EXPANSION FLOW,0.2871772855395543,-0.002733727461468457,0.012599461924081604,-0.014547376850561103,WEAK FIELD ZONE
