RANK,COUNTRY,RES_SCORE,RES_TIER
192,Namibia,12.368665561669978,Fragile
193,Grenada,12.367281191442645,Fragile
194,Maldives,12.366598355897473,Fragile
195,Bhutan,12.36146265262293,Fragile
196,St. Vincent and the Grenadines,12.35940766271335,Fragile
197,Montenegro,12.35257405018037,Fragile
198,Saudi Arabia,12.340182879760306,Fragile
199,"Timor-Leste, Democratic Republic of",12.293650498550655,Fragile
200,Dominica,12.289817634103912,Fragile
201,"Mozambique, Republic of",12.188164689338961,Fragile
202,Latin America and the Caribbean (LAC),12.066073795716061,Fragile
203,Emerging and Developing Europe,12.050998528082427,Fragile
204,World,8.534166735554315,Fragile
